VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,4.83969,space,7.504515,3,1,5.121415,0,0,0,4,1,Headphone/t3_1.wav,3,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.858345,0,1,1,1,1,Headphone/t1_2.wav,1,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.487645,0,2,2,2,1,Headphone/t2_1.wav,2,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.6,0,3,3,0,1,Headphone/t1_1.wav,1,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.945735,0,4,4,5,1,Headphone/t3_2.wav,3,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.381675,0,5,5,3,1,Headphone/t2_2.wav,2,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,space,13.29708,space,24.89955,space,3.330815,3,1,5.9349,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.800885,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,1,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.92864,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f58e2ebb27d050941be1694,001,2021-03-01_23h42.37.865,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.51786,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,,,
