VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,2.71902,space,7.73127,2,1,0.987245,0,0,0,2,1,Headphone/t2_1.wav,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.418635,0,1,1,5,1,Headphone/t3_2.wav,3,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.429415,0,2,2,1,1,Headphone/t1_2.wav,1,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.495735,0,3,3,3,1,Headphone/t2_2.wav,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.06773,0,4,4,4,1,Headphone/t3_1.wav,3,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.36698,0,5,5,0,1,Headphone/t1_1.wav,1,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,space,17.27594,space,18.123745,space,2.969675,3,1,2.52583,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.601125,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,1,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.093755,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.601695,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.532355,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_F.wav,3,NEW,C,space,3.741195,3,1,3.1509,0,0,0,0,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_E.wav,3,NEW,C,,,3,1,0.550845,0,1,1,1,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,NEW,C,,,3,1,0.37895,0,2,2,2,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Horse.wav,3,NEW,C,,,3,1,0.322205,0,3,3,3,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,3,NEW,C,,,3,1,0.35226,0,4,4,4,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,C,,,3,1,0.018625,0,5,5,5,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Growl_G.wav,3,NEW,C,,,3,1,0.425635,0,6,6,6,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,C,,,3,1,0.45667,0,7,7,7,1,,
,,,,,,,,,,,,,2,5f9e19ae97b3c23c6eaafc96,001,2021-03-03_00h23.52.424,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Slurp.wav,3,NEW,C,,,2,0,2.170575,0,8,8,8,1,,
