VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,3.005925,space,4.829325,2,1,3.42131,0,0,0,3,1,Headphone/t2_2.wav,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.57908,0,1,1,1,1,Headphone/t1_2.wav,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.072715,0,2,2,0,1,Headphone/t1_1.wav,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.30074,0,3,3,2,1,Headphone/t2_1.wav,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.07229,0,4,4,5,1,Headphone/t3_2.wav,3,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.25861,0,5,5,4,1,Headphone/t3_1.wav,3,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,space,16.68553,space,6.35328,space,3.279235,2,1,5.17448,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,2,1,0.65395,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,1,1,0.35319,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,2,1,0.56509,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,2,1,1.758895,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,NEW,space,3.856615,2,1,1.23049,0,0,0,0,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,2,1,1.327705,0,1,1,1,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,2,1,0.466975,0,2,2,2,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,2,1,0.30733,0,3,3,3,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,2,1,0.320205,0,4,4,4,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,2,1,0.300375,0,5,5,5,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,2,1,0.42487,0,6,6,6,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,,,2,0,0.30626,0,7,7,7,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,,,2,1,0.335065,0,8,8,8,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,NEW,,,2,1,0.32897,0,9,9,9,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,3,NEW,,,2,1,0.29327,0,10,10,10,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,OLD,,,2,0,0.366455,0,11,11,11,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,,,1,0,0.434275,0,12,12,12,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,NEW,,,2,1,0.30391,0,13,13,13,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,1,OLD,,,1,1,0.367965,0,14,14,14,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,NEW,,,2,1,0.318005,0,15,15,15,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,3,NEW,,,2,1,0.791005,0,16,16,16,1,,
