VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,33.504,space,10.049,2,1,1.611,0,0,0,2,1,Headphone/t2_1.wav,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.568,0,1,1,4,1,Headphone/t3_1.wav,3,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.524,0,2,2,3,1,Headphone/t2_2.wav,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.394,0,3,3,1,1,Headphone/t1_2.wav,1,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.386,0,4,4,5,1,Headphone/t3_2.wav,3,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.352,0,5,5,0,1,Headphone/t1_1.wav,1,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,space,28.174,space,116.752,space,3.862,3,1,4.059,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.733,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.165,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e98b398e4a84f0eb3755e51,001,2021-02-22_19h55.57.514,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.808,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
