VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.668,space,21.355,3,1,6.103,0,0,0,4,1,Headphone/t3_1.wav,3,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.37,0,1,1,3,1,Headphone/t2_2.wav,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.206,0,2,2,2,1,Headphone/t2_1.wav,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.613,0,3,3,5,1,Headphone/t3_2.wav,3,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.202,0,4,4,1,1,Headphone/t1_2.wav,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.475,0,5,5,0,1,Headphone/t1_1.wav,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,space,9.523,space,23.296,space,10.228,3,1,6.717,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.143,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,0.397,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.201,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,0,0.899,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_F.wav,3,NEW,C,space,8.161,3,1,2.077,0,0,0,0,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_E.wav,3,NEW,C,,,3,1,0.482,0,1,1,1,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,NEW,C,,,3,1,0.456,0,2,2,2,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Horse.wav,3,NEW,C,,,3,1,1.034,0,3,3,3,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,3,NEW,C,,,3,1,0.434,0,4,4,4,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,C,,,3,1,0.457,0,5,5,5,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Growl_G.wav,3,NEW,C,,,3,1,0.409,0,6,6,6,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,C,,,3,1,0.577,0,7,7,7,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Slurp.wav,3,NEW,C,,,3,1,0.504,0,8,8,8,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,CarStart_E.wav,2,SIMILAR,C,,,1,0,0.953,0,9,9,9,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Printer.wav,3,NEW,C,,,3,1,0.321,0,10,10,10,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,C,,,3,1,0.893,0,11,11,11,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,NEW,C,,,3,1,0.27,0,12,12,12,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,3,NEW,C,,,3,1,0.77,0,13,13,13,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Goat_D.wav,3,NEW,C,,,3,1,2.845,0,14,14,14,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Horse.wav,1,OLD,C,,,1,1,0.85,0,15,15,15,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_C.wav,3,NEW,C,,,3,1,5.049,0,16,16,16,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Bubbles_B.wav,2,SIMILAR,C,,,2,1,0.409,0,17,17,17,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_G.wav,3,NEW,C,,,3,1,0.371,0,18,18,18,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Duck_C.wav,3,NEW,C,,,2,0,0.402,0,19,19,19,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,C,,,3,1,0.433,0,20,20,20,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Airhorn.wav,3,NEW,C,,,3,1,0.425,0,21,21,21,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Printer.wav,1,OLD,C,,,1,1,2.894,0,22,22,22,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,1,OLD,C,,,1,1,0.655,0,23,23,23,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,3,NEW,C,,,3,1,0.753,0,24,24,24,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Growl_H.wav,2,SIMILAR,C,,,2,1,0.365,0,25,25,25,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_A.wav,3,NEW,C,,,3,1,0.668,0,26,26,26,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_D.wav,3,NEW,C,,,3,1,0.16,0,27,27,27,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Coin_D.wav,3,NEW,C,,,2,0,0.796,0,28,28,28,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_F.wav,2,SIMILAR,C,,,2,1,6.556,0,29,29,29,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,3,NEW,C,,,3,1,0.802,0,30,30,30,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Slurp.wav,1,OLD,C,,,1,1,2.173,0,31,31,31,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,1,OLD,C,,,1,1,0.414,0,32,32,32,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,1,OLD,C,,,1,1,0.427,0,33,33,33,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_E.wav,3,NEW,C,,,2,0,0.433,0,34,34,34,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,OLD,C,,,2,0,0.33,0,35,35,35,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_F.wav,2,SIMILAR,C,,,2,1,0.912,0,36,36,36,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,1,OLD,C,,,1,1,1.123,0,37,37,37,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,3,NEW,C,,,3,1,0.299,0,38,38,38,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,1,OLD,C,,,1,1,0.893,0,39,39,39,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,3,NEW,C,,,3,1,0.299,0,40,40,40,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Goat_E.wav,2,SIMILAR,C,,,1,0,0.785,0,41,41,41,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,NEW,C,,,3,1,1.18,0,42,42,42,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Duck_D.wav,2,SIMILAR,C,,,1,0,0.567,0,43,43,43,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,1,OLD,C,,,1,1,0.353,0,44,44,44,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_E.wav,3,NEW,C,,,3,1,0.457,0,45,45,45,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,1,OLD,C,,,1,1,0.973,0,46,46,46,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_F.wav,2,SIMILAR,C,,,1,0,0.292,0,47,47,47,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,3,NEW,C,,,3,1,0.394,0,48,48,48,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,1,OLD,C,,,2,0,2.142,0,49,49,49,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Donkey.wav,3,NEW,C,,,3,1,0.281,0,50,50,50,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Coin_E.wav,2,SIMILAR,C,,,1,0,0.748,0,51,51,51,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,C,,,3,1,0.283,0,52,52,52,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_D.wav,1,OLD,C,,,1,1,1.517,0,53,53,53,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Hammer_A.wav,3,NEW,C,,,3,1,0.574,0,54,54,54,1,,
,,,,,,,,,,,,,1,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Airhorn.wav,1,OLD,C,,,1,1,1.403,0,55,55,55,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Whistle_C.wav,2,SIMILAR,C,,,2,1,1.015,0,56,56,56,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_D.wav,3,NEW,C,,,3,1,1.245,0,57,57,57,1,,
,,,,,,,,,,,,,2,5bfd6d99596b05000196ff90,001,2021-03-08_16h13.40.593,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Pour_C.wav,2,SIMILAR,C,,,2,1,6.534,0,58,58,58,1,,
