VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,2.14246,space,5.36301,3,1,1.43084,0,0,0,5,1,Headphone/t3_2.wav,3,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.258385,0,1,1,1,1,Headphone/t1_2.wav,1,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.274865,0,2,2,2,1,Headphone/t2_1.wav,2,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.099215,0,3,3,3,1,Headphone/t2_2.wav,2,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.278445,0,4,4,0,1,Headphone/t1_1.wav,1,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.26445,0,5,5,4,1,Headphone/t3_1.wav,3,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,space,12.37676,space,6.452765,space,4.086615,2,1,5.37454,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.242435,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.113285,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5ff710f366c8103139f19489,1,2021-03-08_15h16.38.003,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.0615,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
