VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,6.174495,space,23.50227,1,1,5.25388,0,0,0,0,1,Headphone/t1_1.wav,1,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.79377,0,1,1,3,1,Headphone/t2_2.wav,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.90853,0,2,2,1,1,Headphone/t1_2.wav,1,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.469895,0,3,3,2,1,Headphone/t2_1.wav,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.376355,0,4,4,4,1,Headphone/t3_1.wav,3,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.270925,0,5,5,5,1,Headphone/t3_2.wav,3,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,space,9.045855,space,34.98573,space,4.64725,3,1,5.726535,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.40899,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,5.633375,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.90003,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
