WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,7.517,space,4.081,ice in a cup,0,0,0,57,1,Initial/Repeat/Stir.wav,Repeat,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,church bell,0,1,1,2,1,Initial/Doubled/Chime_A.wav,Doubled,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,velcro,0,2,2,95,1,Test/Foils/PaperRip.wav,Extra,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,scanner,0,3,3,54,1,Initial/Repeat/Printer.wav,Repeat,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog toy,0,4,4,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,phone ringging,0,5,5,88,1,Test/Foils/DialTone.wav,Extra,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,crow,0,6,6,87,1,Initial/Repeat/Crow_B.wav,Extra,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,coins,0,7,7,4,1,Initial/Doubled/Coin_A.wav,Doubled,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,cock,0,8,8,96,1,Initial/NoRepeat/Rooster_B.wav,Extra,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,9,9,16,1,Initial/Doubled/Owl_A.wav,Doubled,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,engine starting,0,10,10,81,1,Initial/Doubled/CarStart_A.wav,Extra,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistle,0,11,11,50,1,Initial/Repeat/ManWhistle.wav,Repeat,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,chopping wood,0,12,12,61,1,Test/Foils/Axe.wav,New,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,13,13,70,1,Test/Foils/Harmonica.wav,New,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,14,14,80,1,Test/Foils/Camera.wav,Extra,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,harpa,0,15,15,14,1,Initial/Doubled/Harp_A.wav,Doubled,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,16,16,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,hearthbeat,0,17,17,71,1,Test/Foils/Heartbeat.wav,New,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,18,18,41,1,Initial/Repeat/Bat.wav,Repeat,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
,,,,swallow,0,19,19,92,1,Test/Foils/Gulp.wav,Extra,5ab0b347e1546900019b16aa,001,2021-01-01_15h59.14.224,GuessTheSound,2020.2.10,Win32,60,,
