WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,9.622175,space,3.871865,Ice cubes in the glass,0,0,0,57,1,Initial/Repeat/Stir.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,paper being teared,0,1,1,95,1,Test/Foils/PaperRip.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,phone rings,0,2,2,52,1,Initial/Repeat/Phone_A.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,alarm,0,3,3,6,1,Initial/Doubled/Cuckoo_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,phone call,0,4,4,88,1,Test/Foils/DialTone.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,frog,0,5,5,90,1,Initial/Doubled/Geese_A.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,some insect or snake,0,6,6,44,1,Initial/Repeat/Cicade.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,nailing,0,7,7,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,thunder,0,8,8,39,1,Initial/NoRepeat/Thunder_A.wav,NoRepeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,dolphin or seal,0,9,9,55,1,Initial/Repeat/Sealion.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,bird,0,10,10,62,1,Test/Foils/Bird.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,turkey,0,11,11,19,1,Initial/Doubled/Turkey_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,glass,0,12,12,94,1,Initial/Repeat/IceDrop.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,13,13,51,1,Initial/Repeat/MetalBang.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,violin,0,14,14,43,1,Initial/Repeat/Cello.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,aeroplane,0,15,15,40,1,Initial/Repeat/Airplane_B.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,hands hitting on desk,0,16,16,69,1,Test/Foils/Gallop.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,helicopter,0,17,17,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,car engine start,0,18,18,81,1,Initial/Doubled/CarStart_A.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,pumping,0,19,19,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,nailing ,0,20,20,98,1,Initial/Doubled/Train_A.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,door creek,0,21,21,86,1,Initial/Doubled/Creak.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,wind,0,22,22,79,1,Test/Foils/Wind_B.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,pouring cola,0,23,23,49,1,Initial/Repeat/Pour.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,don't know the name of instrument,0,24,24,70,1,Test/Foils/Harmonica.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,wind,0,25,25,73,1,Test/Foils/Kettle.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,some tune,0,26,26,33,1,Initial/NoRepeat/MusicBox_A.wav,NoRepeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,water drops,0,27,27,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,sea,0,28,28,18,1,Initial/Doubled/Surf_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,29,29,75,1,Test/Foils/Robot.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,sneezing,0,30,30,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog barking,0,31,31,7,1,Initial/Doubled/Dog_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,bell,0,32,32,2,1,Initial/Doubled/Chime_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,transponder,0,33,33,54,1,Initial/Repeat/Printer.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,cock,0,34,34,96,1,Initial/NoRepeat/Rooster_B.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,clap,0,35,35,3,1,Initial/Doubled/Clap_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,locomotive,0,36,36,76,1,Test/Foils/Steam.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,frog,0,37,37,72,1,Test/Foils/Horse.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,glass on wood,0,38,38,47,1,Initial/Repeat/Cup.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,39,39,14,1,Initial/Doubled/Harp_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,40,40,9,1,Initial/Doubled/Piano_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,drums,0,41,41,45,1,Initial/Repeat/Cymbal_A.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,camera,0,42,42,80,1,Test/Foils/Camera.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,phone,0,43,43,89,1,Initial/NoRepeat/Duck_A.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,phone vibrating,0,44,44,66,1,Test/Foils/Buzz.wav,New,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,guitar,0,45,45,91,1,Initial/Doubled/Guitar_A.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,bubbles in water,0,46,46,0,1,Initial/Doubled/Bubbles_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,coughing,0,47,47,85,1,Initial/Doubled/Cough_A.wav,Extra,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,trumpet,0,48,48,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
,,,,tiger,0,49,49,12,1,Initial/Doubled/Growl_A.wav,Doubled,5f593ffc7fa1481697b363e5,001,2021-01-04_06h10.06.611,GuessTheSound,2020.2.10,Win32,60,,
