WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,4.58418,space,3.716815,Pages getting ripped,0,0,0,95,1,Test/Foils/PaperRip.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cow,0,1,1,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Printer,0,2,2,54,1,Initial/Repeat/Printer.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ping Pong,0,3,3,53,1,Initial/Repeat/Pingpong.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,4,4,61,1,Test/Foils/Axe.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Horn,0,5,5,60,1,Test/Foils/Airhorn.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Drink getting poured,0,6,6,49,1,Initial/Repeat/Pour.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Chicken,0,7,7,96,1,Initial/NoRepeat/Rooster_B.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Coughing,0,8,8,85,1,Initial/Doubled/Cough_A.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,9,9,67,1,Test/Foils/Curtain.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Piano,0,10,10,9,1,Initial/Doubled/Piano_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,11,11,75,1,Test/Foils/Robot.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Gulping,0,12,12,92,1,Test/Foils/Gulp.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Alarm,0,13,13,33,1,Initial/NoRepeat/MusicBox_A.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Engine revving,0,14,14,81,1,Initial/Doubled/CarStart_A.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Phone Calling,0,15,15,88,1,Test/Foils/DialTone.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Insects,0,16,16,44,1,Initial/Repeat/Cicade.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Guitar,0,17,17,91,1,Initial/Doubled/Guitar_A.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,18,18,51,1,Initial/Repeat/MetalBang.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bell,0,19,19,2,1,Initial/Doubled/Chime_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Laughs,0,20,20,15,1,Initial/Doubled/Laugh_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Trumpet,0,21,21,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Phone ringing,0,22,22,52,1,Initial/Repeat/Phone_A.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Kazoo,0,23,23,74,1,Test/Foils/PartyHorn.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Eagle,0,24,24,25,1,Initial/NoRepeat/Eagle_B.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,25,25,97,1,Test/Foils/Slurp.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Glass clink,0,26,26,47,1,Initial/Repeat/Cup.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bubbles,0,27,27,0,1,Initial/Doubled/Bubbles_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ice in glass,0,28,28,94,1,Initial/Repeat/IceDrop.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Photo being taken,0,29,29,80,1,Test/Foils/Camera.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Clucking,0,30,30,19,1,Initial/Doubled/Turkey_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Storm,0,31,31,18,1,Initial/Doubled/Surf_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Dog barking,0,32,32,7,1,Initial/Doubled/Dog_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Chicken clucking,0,33,33,1,1,Initial/Doubled/Chicken_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Owl,0,34,34,16,1,Initial/Doubled/Owl_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Fireworks,0,35,35,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Wolf howling,0,36,36,48,1,Initial/Repeat/Howl.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,37,37,57,1,Initial/Repeat/Stir.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,38,38,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Plane,0,39,39,40,1,Initial/Repeat/Airplane_B.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Sound for waiting,0,40,40,8,1,Initial/Doubled/Doorchime_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ambulance sirens,0,41,41,11,1,Initial/Doubled/Siren_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Elephant,0,42,42,86,1,Initial/Doubled/Creak.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bowling pins,0,43,43,63,1,Test/Foils/Bowlingpins.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Zipper,0,44,44,35,1,Initial/NoRepeat/Saw_A.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,45,45,78,1,Test/Foils/Cards.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Harp,0,46,46,14,1,Initial/Doubled/Harp_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Phone vibrating,0,47,47,66,1,Test/Foils/Buzz.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Writing,0,48,48,99,1,Initial/Doubled/Writing_A.wav,Extra,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Frog,0,49,49,65,1,Test/Foils/Bullfrog.wav,New,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Footsteps,0,50,50,29,1,Initial/NoRepeat/Footsteps_B.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cricket,0,51,51,5,1,Initial/Doubled/Cricket_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,52,52,41,1,Initial/Repeat/Bat.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Mouse,0,53,53,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Banjo,0,54,54,46,1,Initial/Repeat/Drum_B.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Whistling,0,55,55,50,1,Initial/Repeat/ManWhistle.wav,Repeat,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Wind chimes,0,56,56,17,1,Initial/Doubled/Windchime_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
,,,,Coo coo clock,0,57,57,6,1,Initial/Doubled/Cuckoo_A.wav,Doubled,5b2bc0070ec82d0001d2997e,001,2021-01-01_16h59.12.835,GuessTheSound,2020.2.10,Win32,60,,
