WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,5.406,space,3.512,horse gallop ,0,0,0,69,1,Test/Foils/Gallop.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,crow,0,1,1,87,1,Initial/Repeat/Crow_B.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,toilet,0,2,2,23,1,Initial/NoRepeat/Toilet_B.wav,NoRepeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,a glass of water with ice,0,3,3,57,1,Initial/Repeat/Stir.wav,Repeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,drumset cymbal,0,4,4,45,1,Initial/Repeat/Cymbal_A.wav,Repeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,harmonic,0,5,5,70,1,Test/Foils/Harmonica.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,fireworks,0,6,6,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,coins,0,7,7,4,1,Initial/Doubled/Coin_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,chickens clucking,0,8,8,19,1,Initial/Doubled/Turkey_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,typing on a keyboard,0,9,9,77,1,Test/Foils/Typing.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,waterdrops,0,10,10,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,helicopter,0,11,11,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,jazz sax,0,12,12,36,1,Initial/NoRepeat/Sax_A.wav,NoRepeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,bowling,0,13,13,63,1,Test/Foils/Bowlingpins.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,air horns,0,14,14,60,1,Test/Foils/Airhorn.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,ducks,0,15,15,90,1,Initial/Doubled/Geese_A.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,harp,0,16,16,14,1,Initial/Doubled/Harp_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,kettle,0,17,17,73,1,Test/Foils/Kettle.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,train horn,0,18,18,76,1,Test/Foils/Steam.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,barks,0,19,19,7,1,Initial/Doubled/Dog_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby crying,0,20,20,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,glass on a table,0,21,21,47,1,Initial/Repeat/Cup.wav,Repeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,cuco clock,0,22,22,6,1,Initial/Doubled/Cuckoo_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,dropping ice in a glass,0,23,23,94,1,Initial/Repeat/IceDrop.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,cough,0,24,24,85,1,Initial/Doubled/Cough_A.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,chirps,0,25,25,5,1,Initial/Doubled/Cricket_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,owl hooing,0,26,26,16,1,Initial/Doubled/Owl_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistle,0,27,27,59,1,Initial/Repeat/Whistle_A.wav,Repeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,wind,0,28,28,79,1,Test/Foils/Wind_B.wav,New,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,scribble,0,29,29,99,1,Initial/Doubled/Writing_A.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,paper tear,0,30,30,95,1,Test/Foils/PaperRip.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,ducklings,0,31,31,89,1,Initial/NoRepeat/Duck_A.wav,Extra,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,hair dryer,0,32,32,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,curtain,0,33,33,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
,,,,printer,0,34,34,54,1,Initial/Repeat/Printer.wav,Repeat,5ea885a6b640e22ca5805a35,001,2021-01-01_17h04.04.409,GuessTheSound,2020.2.10,Win32,60,,
