WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,8.03709,space,3.85213,A little bird tweeting ,0,0,0,62,1,Test/Foils/Bird.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Some steps on high heels,0,1,1,29,1,Initial/NoRepeat/Footsteps_B.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bowling,0,2,2,63,1,Test/Foils/Bowlingpins.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Wings,0,3,3,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Small objects inside a can,0,4,4,57,1,Initial/Repeat/Stir.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Eagle ,0,5,5,25,1,Initial/NoRepeat/Eagle_B.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,6,6,84,1,Initial/Doubled/Clock_A.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Music Box,0,7,7,33,1,Initial/NoRepeat/MusicBox_A.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Lots of birds flying and shrieking,0,8,8,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,"Whistle, sounds like an old movie",0,9,9,50,1,Initial/Repeat/ManWhistle.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Applause,0,10,10,3,1,Initial/Doubled/Clap_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Emergency Siren,0,11,11,11,1,Initial/Doubled/Siren_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Big dog barking,0,12,12,7,1,Initial/Doubled/Dog_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Medium sized dog barking,0,13,13,41,1,Initial/Repeat/Bat.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,A phone vibrating,0,14,14,66,1,Test/Foils/Buzz.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,A frog,0,15,15,65,1,Test/Foils/Bullfrog.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Waves ,0,16,16,18,1,Initial/Doubled/Surf_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Rattle Snake,0,17,17,44,1,Initial/Repeat/Cicade.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,paper being ripped,0,18,18,95,1,Test/Foils/PaperRip.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Elevator ,0,19,19,8,1,Initial/Doubled/Doorchime_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Running down the stairs,0,20,20,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,A bunch of chickens,0,21,21,19,1,Initial/Doubled/Turkey_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Metalic sound,0,22,22,51,1,Initial/Repeat/MetalBang.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Owl ,0,23,23,16,1,Initial/Doubled/Owl_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Car honking with music,0,24,24,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Kitten meowing,0,25,25,82,1,Initial/Doubled/Cat_A.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Police car ,0,26,26,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Drums kind of caribbean,0,27,27,46,1,Initial/Repeat/Drum_B.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Trombone happy,0,28,28,36,1,Initial/NoRepeat/Sax_A.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Hen,0,29,29,1,1,Initial/Doubled/Chicken_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Someone speaking underwater,0,30,30,10,1,Initial/Doubled/Gargle_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Donkey,0,31,31,68,1,Test/Foils/Donkey.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Snoring ,0,32,32,38,1,Initial/NoRepeat/Snore_B.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Old Door shrieking,0,33,33,86,1,Initial/Doubled/Creak.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Marble in a jar,0,34,34,94,1,Initial/Repeat/IceDrop.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Wolf ,0,35,35,48,1,Initial/Repeat/Howl.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Coins ,0,36,36,4,1,Initial/Doubled/Coin_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Running down the stairs,0,37,37,69,1,Test/Foils/Gallop.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Airplane,0,38,38,40,1,Initial/Repeat/Airplane_B.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Toilet flushing,0,39,39,23,1,Initial/NoRepeat/Toilet_B.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Sneezing men,0,40,40,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Adults laughing,0,41,41,15,1,Initial/Doubled/Laugh_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Guitar,0,42,42,91,1,Initial/Doubled/Guitar_A.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Old phone ringing,0,43,43,52,1,Initial/Repeat/Phone_A.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Slamming door,0,44,44,98,1,Initial/Doubled/Train_A.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ping Pong,0,45,45,53,1,Initial/Repeat/Pingpong.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Turn on car,0,46,46,81,1,Initial/Doubled/CarStart_A.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Sheep,0,47,47,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ducks,0,48,48,90,1,Initial/Doubled/Geese_A.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,49,49,43,1,Initial/Repeat/Cello.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Lion ,0,50,50,12,1,Initial/Doubled/Growl_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Drum cymbal,0,51,51,45,1,Initial/Repeat/Cymbal_A.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Seal ,0,52,52,55,1,Initial/Repeat/Sealion.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Water drop,0,53,53,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Whistle ,0,54,54,59,1,Initial/Repeat/Whistle_A.wav,Repeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Shaking a box of cereal,0,55,55,64,1,Test/Foils/Brushing.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Kid's harmonica,0,56,56,74,1,Test/Foils/PartyHorn.wav,New,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Elephant,0,57,57,26,1,Initial/NoRepeat/Elephant_A.wav,NoRepeat,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Photography ,0,58,58,80,1,Test/Foils/Camera.wav,Extra,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,Church Bells,0,59,59,2,1,Initial/Doubled/Chime_A.wav,Doubled,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,,,,,,,5f09dff8faca1a0c4efb0711,001,2021-01-04_22h18.09.029,GuessTheSound,2020.2.10,Win32,60,space,29.11885
