WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,8.54156,space,2.936965,wind,0,0,0,79,1,Test/Foils/Wind_B.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,horn,0,1,1,60,1,Test/Foils/Airhorn.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,clap,0,2,2,3,1,Initial/Doubled/Clap_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,duck,0,3,3,89,1,Initial/NoRepeat/Duck_A.wav,Extra,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,horse,0,4,4,69,1,Test/Foils/Gallop.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,raven,0,5,5,87,1,Initial/Repeat/Crow_B.wav,Extra,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby cry,0,6,6,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,toy,0,7,7,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,plane,0,8,8,40,1,Initial/Repeat/Airplane_B.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,9,9,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,gargles,0,10,10,10,1,Initial/Doubled/Gargle_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,hammering ,0,11,11,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,ping-pong,0,12,12,53,1,Initial/Repeat/Pingpong.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,shutter,0,13,13,67,1,Test/Foils/Curtain.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,car tires,0,14,14,18,1,Initial/Doubled/Surf_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,harp,0,15,15,14,1,Initial/Doubled/Harp_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,clock,0,16,16,6,1,Initial/Doubled/Cuckoo_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistle,0,17,17,50,1,Initial/Repeat/ManWhistle.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,dolphine,0,18,18,19,1,Initial/Doubled/Turkey_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,cow,0,19,19,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,gong,0,20,20,51,1,Initial/Repeat/MetalBang.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,falling down the stairs,0,21,21,98,1,Initial/Doubled/Train_A.wav,Extra,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,22,22,57,1,Initial/Repeat/Stir.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,phone,0,23,23,52,1,Initial/Repeat/Phone_A.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,, bagpipes,0,24,24,42,1,Initial/Repeat/Bagpipe.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,grasshoper,0,25,25,44,1,Initial/Repeat/Cicade.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,floor creacking,0,26,26,86,1,Initial/Doubled/Creak.wav,Extra,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,slurping,0,27,27,97,1,Test/Foils/Slurp.wav,Extra,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,water drops,0,28,28,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,volcture,0,29,29,25,1,Initial/NoRepeat/Eagle_B.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,drawing,0,30,30,64,1,Test/Foils/Brushing.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,laughing,0,31,31,15,1,Initial/Doubled/Laugh_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog barking,0,32,32,7,1,Initial/Doubled/Dog_A.wav,Doubled,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,snoreing,0,33,33,38,1,Initial/NoRepeat/Snore_B.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,knife sharpening,0,34,34,35,1,Initial/NoRepeat/Saw_A.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,birthday horn,0,35,35,74,1,Test/Foils/PartyHorn.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,glass,0,36,36,47,1,Initial/Repeat/Cup.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,seal,0,37,37,55,1,Initial/Repeat/Sealion.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,chew,0,38,38,83,1,Initial/Doubled/Chomp_A.wav,Extra,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,train,0,39,39,76,1,Test/Foils/Steam.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,mosquito,0,40,40,32,1,Initial/NoRepeat/Mosquito_B.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,bowling strike,0,41,41,63,1,Test/Foils/Bowlingpins.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,cock,0,42,42,96,1,Initial/NoRepeat/Rooster_B.wav,Extra,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,sheep,0,43,43,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,horse,0,44,44,72,1,Test/Foils/Horse.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,military horn,0,45,45,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
,,,,weird ringtone,0,46,46,75,1,Test/Foils/Robot.wav,New,5fc96de088c43f432906043b,001,2021-01-01_16h59.23.207,GuessTheSound,2020.2.10,Win32,60,,
