VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.747705,space,17.499215,2,1,2.30954,0,0,0,3,1,Headphone/t2_2.wav,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.3084,0,1,1,0,1,Headphone/t1_1.wav,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.03535,0,2,2,2,1,Headphone/t2_1.wav,2,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.53663,0,3,3,1,1,Headphone/t1_2.wav,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.57654,0,4,4,4,1,Headphone/t3_1.wav,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.51775,0,5,5,5,1,Headphone/t3_2.wav,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,space,16.698445,space,25.467245,space,4.18997,3,1,5.021675,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,1.707435,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,,,
,,,,,,,,,,,,,1,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,1,1,1.84815,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,5fbdc24c6d7411225e16b180,001,2021-01-24_09h57.44.803,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,0.68188,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,,,
