Baby_A.wav,Baby_C.wav,Bird_C.wav,Bird_D.wav,CarStart_B.wav,CarStart_D.wav,Chomp_B.wav,Chomp_C.wav,Coin_B.wav,Coin_C.wav,Cough_C.wav,Cough_D.wav,Dog_C.wav,Dog_D.wav,Goat_A.wav,Goat_C.wav,Growl_B.wav,Growl_C.wav,Laugh_C.wav,Laugh_D.wav,Initial/Repeat/ManWhistle.wav,ManWhistle_D.wav,Phone_C.wav,Phone_D.wav,Piano_C.wav,Piano_D.wav,Pour_C.wav,Pour_D.wav,Siren_B.wav,Siren_C.wav,Whistle_B.wav,Whistle_C.wav,,,,,,,,,,,,,,,,,,,,
2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,2,2,2,3,2,,,1,1,3,3,2,2,3,2,3,1,,,,,,,,,,,,,,,,,,,,
1,3,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,,,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,,,3,2,3,3,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,
2,3,2,3,2,2,2,2,,,2,2,2,2,2,1,2,1,3,1,3,2,2,2,2,2,1,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,
2,3,3,2,1,1,2,2,,,3,2,2,2,3,2,3,1,3,2,2,2,1,2,3,2,2,3,3,2,2,2,,,,,,,,,,,,,,,,,,,,
2,3,2,1,3,2,2,2,,,2,2,2,2,,,,,2,1,,,,,3,3,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,
2,2,3,1,3,3,2,1,,,2,3,3,3,,,,,3,3,,,,,2,3,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,1,2,2,1,,,1,2,1,2,,,,,3,1,,,,,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
Baby_A.wav,Baby_D.wav,Bird_D.wav,CarStart_B.wav,Chime_C.wav,Chomp_C.wav,Cough_C.wav,Cough_D.wav,Dog_C.wav,Dog_D.wav,Goat_C.wav,Growl_B.wav,Growl_D.wav,Initial/Doubled/CarStart_A.wav,Initial/Doubled/Chime_A.wav,Initial/Doubled/Chomp_A.wav,Initial/Doubled/Laugh_A.wav,Initial/Doubled/Piano_A.wav,Initial/NoRepeat/Goat_B.wav,Initial/Repeat/Phone_A.wav,Laugh_D.wav,ManWhistle_C.wav,ManWhistle_D.wav,Phone_C.wav,Piano_C.wav,Pour_C.wav,Pour_D.wav,Practice/Gargle_B.wav,Siren_B.wav,Siren_C.wav,Test/Foils/Bird.wav,Whistle_B.wav,Whistle_C.wav,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,nan,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
Baby_A.wav,Baby_D.wav,Bird_D.wav,CarStart_B.wav,Chime_C.wav,Chomp_C.wav,Cough_C.wav,Cough_D.wav,Dog_C.wav,Dog_D.wav,Goat_C.wav,Growl_B.wav,Growl_D.wav,Initial/Doubled/CarStart_A.wav,Initial/Doubled/Chime_A.wav,Initial/Doubled/Chomp_A.wav,Initial/Doubled/Laugh_A.wav,Initial/Doubled/Piano_A.wav,Initial/NoRepeat/Goat_B.wav,Initial/Repeat/Phone_A.wav,Laugh_D.wav,ManWhistle_C.wav,ManWhistle_D.wav,Phone_C.wav,Piano_C.wav,Pour_C.wav,Pour_D.wav,Practice/Gargle_B.wav,Siren_B.wav,Siren_C.wav,Test/Foils/Bird.wav,Whistle_B.wav,Whistle_C.wav,,,,,,,,,,,,,,,,,,,
2,3,3,2,2,2,2,2,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,nan,2,3,2,2,2,,,,,,,,,,,,,,,,,,,
Baby_A.wav,Baby_D.wav,Bird_D.wav,CarStart_B.wav,Chime_C.wav,Chomp_C.wav,Cough_C.wav,Cough_D.wav,Dog_C.wav,Dog_D.wav,Goat_C.wav,Growl_B.wav,Growl_D.wav,Initial/Doubled/CarStart_A.wav,Initial/Doubled/Chime_A.wav,Initial/Doubled/Chomp_A.wav,Initial/Doubled/Laugh_A.wav,Initial/Doubled/Piano_A.wav,Initial/NoRepeat/Goat_B.wav,Initial/Repeat/Phone_A.wav,Laugh_D.wav,ManWhistle_C.wav,ManWhistle_D.wav,Phone_C.wav,Piano_C.wav,Pour_C.wav,Pour_D.wav,Practice/Gargle_B.wav,Siren_B.wav,Siren_C.wav,Test/Foils/Bird.wav,Whistle_B.wav,Whistle_C.wav,,,,,,,,,,,,,,,,,,,
2,2,2,3,2,2,2,2,2,3,3,3,1,2,3,1,2,1,2,2,1,2,2,2,3,2,2,nan,1,2,2,2,1,,,,,,,,,,,,,,,,,,,
