"""Old""|Old","""Sim""|Old","""New""|Old","""Old""|Sim","""Sim""|Sim","""New""|Sim","""Old""|New","""Sim""|New","""New""|New",,
0.533333333,0.3,0.166666667,0.1,0.366666667,0.533333333,0.020408163,0.204081633,0.775510204,,
0.5,0.466666667,0.033333333,0.433333333,0.5,0.066666667,0.387755102,0.428571429,0.06122449,,
0,0.2,0.8,0,0.133333333,0.866666667,0,0.244897959,0.632653061,,
0.8,0.1,0.1,0.133333333,0.633333333,0.233333333,0,0.020408163,0.979591837,,
0.866666667,0.1,0.033333333,0.033333333,0.9,0.066666667,0,0.040816327,0.959183673,,
0.8,0.166666667,0.033333333,0.133333333,0.566666667,0.3,0.06122449,0.020408163,0.918367347,,
,,,,,,,,,,
"""Old""|Old","""Old""|New","""New""|Lure","""Old""|Lure","""New""|New","""Old""|New",,,,,
0.921875,0.020833333,0.6875,0.3125,0.979166667,0.078125,,,,,
0.953125,0,0.71875,0.28125,1,0.046875,,,,,
0.95,0.03125,0.916666667,0.083333333,0.96875,0.05,,,,,
0.8,0.03125,0.583333333,0.416666667,0.96875,0.2,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.775,0.225,0,0.125,0.75,0.125,0.046875,0.171875,0.78125,0.578125,0.728125
0.825,0.175,0,0.041666667,0.875,0.083333333,0.03125,0.03125,0.9375,0.84375,0.79375
0.95,0.05,0,0.125,0.833333333,0.041666667,0,0.03125,0.96875,0.802083333,0.95
0.7,0.275,0.025,0.25,0.666666667,0.083333333,0.015625,0.09375,0.890625,0.572916667,0.684375
,,,,,,,,,,
0.796875,0.171875,0.03125,0.1875,0.625,0.1875,0.020833333,0.25,0.729166667,0.375,0.776041667
0.875,0.125,0,0.1875,0.8125,0,0,0.166666667,0.833333333,0.645833333,0.875
0.8125,0.140625,0.046875,0.03125,0.78125,0.1875,0,0.041666667,0.958333333,0.739583333,0.8125
0.828125,0.145833333,0.026041667,0.135416667,0.739583333,0.125,0.006944444,0.152777778,0.840277778,0.586805556,0.821180556
,,,,,,,,,,
0.625,0.275,0.1,0.333333333,0.583333333,0.083333333,0.078125,0.078125,0.84375,0.505208333,0.546875
0.8,0.05,0.15,0.25,0.625,0.125,0.015625,0.03125,0.953125,0.59375,0.784375
0.9,0.075,0.025,0.208333333,0.666666667,0.125,0.046875,0.0625,0.890625,0.604166667,0.853125
,,,,,,,,,,
0.8,0.075,0.125,0.541666667,0.291666667,0.166666667,0.046875,0.109375,0.84375,0.182291667,0.753125
0.75,0.15,0.1,0.291666667,0.458333333,0.25,0.015625,0.015625,0.96875,0.442708333,0.734375
0.525,0.4,0.075,0.25,0.5,0.25,0,0.171875,0.828125,0.328125,0.525
0.5,0.425,0.075,0.166666667,0.708333333,0.125,0,0.125,0.875,0.583333333,0.5
0.75,0.175,0.075,0.333333333,0.5,0.166666667,0.015625,0.078125,0.90625,0.421875,0.734375
,,,,,,,,,,
0.70625,0.203125,0.090625,0.296875,0.541666667,0.161458333,0.02734375,0.083984375,0.888671875,0.457682292,0.67890625
0.775,0.133333333,0.091666667,0.263888889,0.625,0.111111111,0.046875,0.057291667,0.895833333,0.567708333,0.728125
0.665,0.245,0.09,0.316666667,0.491666667,0.191666667,0.015625,0.1,0.884375,0.391666667,0.649375
