All sounds,Type,,SoundMST/Elephant_C.wav,2,3,NEW,,SoundMST/Elephant_C.wav,SoundMST/Elephant_A.wav
SoundMST/Elephant_C.wav,NEW,,SoundMST/Thunder_A.wav,2,3,NEW,,SoundMST/Chime_B.wav,SoundMST/Chime_A.wav
SoundMST/Thunder_A.wav,NEW,,SoundMST/Chime_B.wav,2,3,NEW,,SoundMST/Pour_B.wav,SoundMST/Pour_C.wav
SoundMST/Chime_B.wav,NEW,,SoundMST/Toilet_B.wav,2,3,NEW,,SoundMST/Baby_F.wav,SoundMST/Baby_E.wav
SoundMST/Toilet_B.wav,NEW,,SoundMST/Typing.wav,2,3,NEW,,SoundMST/Writing_A.wav,SoundMST/Writing_C.wav
SoundMST/Typing.wav,NEW,,SoundMST/Pour_B.wav,2,3,NEW,,SoundMST/Faucet_A.wav,SoundMST/Faucet_C.wav
SoundMST/Pour_B.wav,NEW,,SoundMST/Sleighbells_B.wav,2,3,NEW,,SoundMST/Cough_D.wav,SoundMST/Cough_F.wav
SoundMST/Sleighbells_B.wav,NEW,,SoundMST/Buzz.wav,2,3,NEW,,SoundMST/Bird_E.wav,SoundMST/Bird_A.wav
SoundMST/Buzz.wav,NEW,,SoundMST/Baby_F.wav,2,3,NEW,,SoundMST/Duck_C.wav,SoundMST/Duck_D.wav
SoundMST/Baby_F.wav,NEW,,SoundMST/Thunder_A.wav,1,1,OLD,,SoundMST/Laugh_A.wav,SoundMST/Laugh_D.wav
SoundMST/Mosquito_B.wav,NEW,,SoundMST/Mosquito_B.wav,2,3,NEW,,SoundMST/Snore_C.wav,SoundMST/Snore_E.wav
SoundMST/DialTone.wav,NEW,,SoundMST/DialTone.wav,2,3,NEW,,SoundMST/Whistle_B.wav,SoundMST/Whistle_C.wav
SoundMST/Writing_A.wav,NEW,,SoundMST/Elephant_A.wav,2,2,SIMILAR,,SoundMST/Chomp_A.wav,SoundMST/Chomp_C.wav
SoundMST/Faucet_A.wav,NEW,,SoundMST/Writing_A.wav,2,3,NEW,,SoundMST/Phone_D.wav,SoundMST/Phone_E.wav
SoundMST/Wind_B.wav,NEW,,SoundMST/Faucet_A.wav,2,3,NEW,,SoundMST/Siren_E.wav,SoundMST/Siren_A.wav
SoundMST/Cough_D.wav,NEW,,SoundMST/Typing.wav,1,1,OLD,,SoundMST/Crow_B.wav,SoundMST/Crow_A.wav
SoundMST/Puff_A.wav,NEW,,SoundMST/Sleighbells_B.wav,1,1,OLD,,SoundMST/Footsteps_C.wav,SoundMST/Footsteps_F.wav
SoundMST/Heartbeat.wav,NEW,,SoundMST/Wind_B.wav,2,3,NEW,,SoundMST/Dog_H.wav,SoundMST/Dog_F.wav
SoundMST/IceDrop.wav,NEW,,SoundMST/Toilet_B.wav,1,1,OLD,,SoundMST/Goat_B.wav,SoundMST/Goat_C.wav
SoundMST/Bird_E.wav,NEW,,SoundMST/Pour_C.wav,2,2,SIMILAR,,SoundMST/Coin_D.wav,SoundMST/Coin_E.wav
SoundMST/Duck_C.wav,NEW,,SoundMST/Chime_A.wav,2,2,SIMILAR,,SoundMST/Bubbles_A.wav,SoundMST/Bubbles_B.wav
SoundMST/Laugh_A.wav,NEW,,SoundMST/Buzz.wav,1,1,OLD,,SoundMST/Growl_G.wav,SoundMST/Growl_H.wav
SoundMST/Chicken_A.wav,NEW,,SoundMST/Writing_C.wav,2,2,SIMILAR,,SoundMST/Clap_B.wav,SoundMST/Clap_C.wav
SoundMST/Guitar_B.wav,NEW,,SoundMST/Mosquito_B.wav,1,1,OLD,,SoundMST/CarStart_E.wav,SoundMST/CarStart_A.wav
SoundMST/Cello.wav,NEW,,SoundMST/Cough_D.wav,2,3,NEW,,,
SoundMST/Airplane_B.wav,NEW,,SoundMST/DialTone.wav,1,1,OLD,,,
SoundMST/Trumpet_B.wav,NEW,,SoundMST/Puff_A.wav,2,3,NEW,,,
SoundMST/Sneeze_B.wav,NEW,,SoundMST/Heartbeat.wav,2,3,NEW,,,
SoundMST/Snore_C.wav,NEW,,SoundMST/IceDrop.wav,2,3,NEW,,,
SoundMST/Cat_A.wav,NEW,,SoundMST/Bird_E.wav,2,3,NEW,,,
SoundMST/Whistle_B.wav,NEW,,SoundMST/Baby_E.wav,2,2,SIMILAR,,,
SoundMST/Slurp.wav,NEW,,SoundMST/Faucet_C.wav,2,2,SIMILAR,,,
SoundMST/Chomp_A.wav,NEW,,SoundMST/Duck_C.wav,2,3,NEW,,,
SoundMST/ManWhistle.wav,NEW,,SoundMST/Laugh_A.wav,2,3,NEW,,,
SoundMST/Cup.wav,NEW,,SoundMST/Wind_B.wav,1,1,OLD,,,
