VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,3.327445,space,5.19864,3,1,2.34709,0,0,0,4,1,Headphone/t3_1.wav,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,1.48305,0,1,1,2,1,Headphone/t2_1.wav,2,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.9972,0,2,2,1,1,Headphone/t1_2.wav,1,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.6024,0,3,3,5,1,Headphone/t3_2.wav,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.88921,0,4,4,3,1,Headphone/t2_2.wav,2,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.37814,0,5,5,0,1,Headphone/t1_1.wav,1,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,space,5.399585,space,7.696315,space,2.17376,3,1,3.28336,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,4.42514,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,
,,,,,,,,,,,,,1,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,1,1,0.46669,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,0.216295,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,
,,,,,,,,,,,,,2,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,2,1,0.333035,0,4,4,4,1,Practice/Gargle_B.wav,,,,,,,,,,
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,space,5.01402,3,1,2.556285,0,0,0,0,1
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,,,3,1,0.35759,0,1,1,1,1
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,3,1,0.40363,0,2,2,2,1
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,,,3,1,0.601065,0,3,3,3,1
,,,,,,,,,,,,,3,5c9a56fa350ac700170d45f3,001,2021-01-24_15h57.37.592,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,,,3,1,0.3421,0,4,4,4,1
