WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,5.808,space,3.72,Kid's toy trumpet,0,0,0,36,1,Initial/NoRepeat/Sax_A.wav,NoRepeat,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,1,1,43,1,Initial/Repeat/Cello.wav,Repeat,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,wood panel being lifted,0,2,2,86,1,Initial/Doubled/Creak.wav,Extra,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,duck noise,0,3,3,89,1,Initial/NoRepeat/Duck_A.wav,Extra,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,group laughter,0,4,4,15,1,Initial/Doubled/Laugh_A.wav,Doubled,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,scary laughter,0,5,5,72,1,Test/Foils/Horse.wav,New,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,sneeze,0,6,6,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,clacson,0,7,7,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,thunder,0,8,8,39,1,Initial/NoRepeat/Thunder_A.wav,NoRepeat,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
,,,,siren,0,9,9,11,1,Initial/Doubled/Siren_A.wav,Doubled,5e0613233ccda2ffaaeec5bd,001,2021-01-01_17h00.06.671,GuessTheSound,2020.2.10,Win32,60,,
