WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,6.994235,space,4.87058,someone coughing,0,0,0,55,1,Initial/Repeat/Sealion.wav,Repeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,a saw cutting something,0,1,1,35,1,Initial/NoRepeat/Saw_A.wav,NoRepeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,someone coughing,0,2,2,85,1,Initial/Doubled/Cough_A.wav,Extra,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,hairdryer,0,3,3,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,something made of metal falling,0,4,4,51,1,Initial/Repeat/MetalBang.wav,Repeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,trumpets,0,5,5,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,a car engine starting,0,6,6,81,1,Initial/Doubled/CarStart_A.wav,Extra,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,7,7,61,1,Test/Foils/Axe.wav,New,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,sound of fire with wind,0,8,8,71,1,Test/Foils/Heartbeat.wav,New,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,a horse,0,9,9,97,1,Test/Foils/Slurp.wav,Extra,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,shaking a box of matches,0,10,10,64,1,Test/Foils/Brushing.wav,New,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,tape machine,0,11,11,54,1,Initial/Repeat/Printer.wav,Repeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,sneeze,0,12,12,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,a cat,0,13,13,82,1,Initial/Doubled/Cat_A.wav,Extra,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,helicopter,0,14,14,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,going through a deck of cards,0,15,15,78,1,Test/Foils/Cards.wav,New,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby yelling,0,16,16,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,coins falling into a glass,0,17,17,94,1,Initial/Repeat/IceDrop.wav,Extra,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,bubbles being released underwater,0,18,18,0,1,Initial/Doubled/Bubbles_A.wav,Doubled,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,19,19,46,1,Initial/Repeat/Drum_B.wav,Repeat,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
,,,,party whistle,0,20,20,74,1,Test/Foils/PartyHorn.wav,New,5e5d0bb3afebf1000ad9a903,001,2021-01-01_15h58.43.467,GuessTheSound,2020.2.10,Win32,60,,
