WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,5.709485,space,2.71681,Liquid,0,0,0,92,1,Test/Foils/Gulp.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bag Pipes,0,1,1,42,1,Initial/Repeat/Bagpipe.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Chicken,0,2,2,1,1,Initial/Doubled/Chicken_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Glass,0,3,3,47,1,Initial/Repeat/Cup.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Something going down the stairs,0,4,4,98,1,Initial/Doubled/Train_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,printer,0,5,5,54,1,Initial/Repeat/Printer.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Whistle,0,6,6,59,1,Initial/Repeat/Whistle_A.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Sneeze,0,7,7,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Horse,0,8,8,72,1,Test/Foils/Horse.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Phone ringing,0,9,9,52,1,Initial/Repeat/Phone_A.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Hitting a nail,0,10,10,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,11,11,84,1,Initial/Doubled/Clock_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Dog,0,12,12,55,1,Initial/Repeat/Sealion.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Heart beat,0,13,13,71,1,Test/Foils/Heartbeat.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Door ,0,14,14,86,1,Initial/Doubled/Creak.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Car engine,0,15,15,81,1,Initial/Doubled/CarStart_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Siren,0,16,16,11,1,Initial/Doubled/Siren_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Wind Chimes,0,17,17,17,1,Initial/Doubled/Windchime_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Birds,0,18,18,62,1,Test/Foils/Bird.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Eating,0,19,19,83,1,Initial/Doubled/Chomp_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Waves,0,20,20,18,1,Initial/Doubled/Surf_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cow,0,21,21,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Dead phone,0,22,22,88,1,Test/Foils/DialTone.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cat,0,23,23,82,1,Initial/Doubled/Cat_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Wind,0,24,24,79,1,Test/Foils/Wind_B.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,duck,0,25,25,89,1,Initial/NoRepeat/Duck_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,26,26,97,1,Test/Foils/Slurp.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,coin change,0,27,27,4,1,Initial/Doubled/Coin_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Coughing,0,28,28,85,1,Initial/Doubled/Cough_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Airplane,0,29,29,40,1,Initial/Repeat/Airplane_B.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Roaster,0,30,30,96,1,Initial/NoRepeat/Rooster_B.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,31,31,35,1,Initial/NoRepeat/Saw_A.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,harp,0,32,32,14,1,Initial/Doubled/Harp_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bongos,0,33,33,46,1,Initial/Repeat/Drum_B.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Metal,0,34,34,51,1,Initial/Repeat/MetalBang.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,35,35,80,1,Test/Foils/Camera.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Train,0,36,36,76,1,Test/Foils/Steam.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,mosquito,0,37,37,32,1,Initial/NoRepeat/Mosquito_B.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bells,0,38,38,2,1,Initial/Doubled/Chime_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,windblower,0,39,39,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Lion,0,40,40,12,1,Initial/Doubled/Growl_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Partypopper,0,41,41,74,1,Test/Foils/PartyHorn.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,horse,0,42,42,69,1,Test/Foils/Gallop.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog,0,43,43,7,1,Initial/Doubled/Dog_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,bowling,0,44,44,63,1,Test/Foils/Bowlingpins.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Fire works,0,45,45,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,frog,0,46,46,65,1,Test/Foils/Bullfrog.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,47,47,33,1,Initial/NoRepeat/MusicBox_A.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Baby,0,48,48,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,49,49,60,1,Test/Foils/Airhorn.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cup filling,0,50,50,49,1,Initial/Repeat/Pour.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Helicopter,0,51,51,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,52,52,75,1,Test/Foils/Robot.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,53,53,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Walking on wood,0,54,54,29,1,Initial/NoRepeat/Footsteps_B.wav,NoRepeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Donkey,0,55,55,68,1,Test/Foils/Donkey.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bass,0,56,56,43,1,Initial/Repeat/Cello.wav,Repeat,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Clap,0,57,57,3,1,Initial/Doubled/Clap_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Card shuffle,0,58,58,67,1,Test/Foils/Curtain.wav,New,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
,,,,Howl,0,59,59,16,1,Initial/Doubled/Owl_A.wav,Doubled,5e7c4f45455902295048ffb6,001,2021-01-01_17h04.47.001,GuessTheSound,2020.2.10,Win32,60,,
