VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,2.375,space,6.992,1,1,2.346,0,0,0,0,1,Headphone/t1_1.wav,1,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.673,0,1,1,3,1,Headphone/t2_2.wav,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.427,0,2,2,2,1,Headphone/t2_1.wav,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.404,0,3,3,1,1,Headphone/t1_2.wav,1,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.327,0,4,4,5,1,Headphone/t3_2.wav,3,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.303,0,5,5,4,1,Headphone/t3_1.wav,3,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,space,8.725,space,12.508,space,3.142,3,1,5.771,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.272,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,1,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,2.196,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e7e18e1c49a6c4be9b9fa99,001,2021-03-02_00h41.40.442,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.532,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,,,
