ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles2,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,8.265,space,7.147,space,2.867,phone dial tone,1,5.702,0,0,0,7,1,Test/Foils/DialTone.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,police siren,3,4.85,0,1,1,33,1,Siren_B.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,pouring liquid,3,3.136,0,2,2,31,1,Pour_D.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,bird singing,3,1.534,0,3,3,44,1,Bird_D.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,people laughing,3,1.566,0,4,4,41,1,Laugh_D.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,thunder,3,1.135,0,5,5,24,1,Initial/NoRepeat/Thunder_A.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,baby ,3,1.319,0,6,6,1,1,Initial/NoRepeat/Baby_B.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,liquid pouring,1,1.755,0,7,7,60,1,Initial/Repeat/Pour.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,clapping hands,3,2.748,0,8,8,22,1,Initial/Doubled/Clap_A.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,coughing,3,2.681,0,9,9,69,1,Initial/Doubled/Cough_A.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,coughing,2,1.499,0,10,10,56,1,Cough_D.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piano,3,1.841,0,11,11,59,1,Piano_D.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,dog barking,3,1.721,0,12,12,48,1,Dog_B.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,baby talking,2,1.05,0,13,13,38,1,Baby_D.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,tearing paper,3,2.4,0,14,14,13,1,Initial/Doubled/Chomp_A.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,birds singing,2,2.003,0,15,15,43,1,Bird_C.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piano ,2,1.733,0,16,16,58,1,Piano_C.wav,5ebc23bce7dea502638f1bea,001,2021-01-05_19h19.40.652,GuessTheSound,2020.2.10,Win32,60,,
