VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,13.259395,space,15.250535,2,1,3.306655,0,0,0,3,1,Headphone/t2_2.wav,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.43452,0,1,1,5,1,Headphone/t3_2.wav,3,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.76868,0,2,2,2,1,Headphone/t2_1.wav,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.33077,0,3,3,1,1,Headphone/t1_2.wav,1,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.131815,0,4,4,0,1,Headphone/t1_1.wav,1,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.042005,0,5,5,4,1,Headphone/t3_1.wav,3,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,space,26.01432,space,17.26646,space,6.102045,2,1,8.50432,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.2044,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.93875,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ee7dffbf5b63e0c9d20661f,001,2021-02-18_17h04.25.411,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,0,1.2509,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
