VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.49201,space,162.398435,1,0,2.791735,0,0,0,5,1,Headphone/t3_2.wav,3,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.79269,0,1,1,0,1,Headphone/t1_1.wav,1,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,0.78629,0,2,2,3,1,Headphone/t2_2.wav,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,4.39927,0,3,3,1,1,Headphone/t1_2.wav,1,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,1.25291,0,4,4,4,1,Headphone/t3_1.wav,3,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.513115,0,5,5,2,1,Headphone/t2_1.wav,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,space,12.739,space,18.88021,space,3.614375,3,1,6.82651,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,4.70983,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,
,,,,,,,,,,,,,1,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,1.04374,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,
,,,,,,,,,,,,,2,5f19a15b6472d70008a9d5fe,001,2021-02-18_01h46.15.765,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,2.284295,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,
