WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,5.624105,space,3.03188,Train,0,0,0,98,1,Initial/Doubled/Train_A.wav,Extra,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Frog,0,1,1,65,1,Test/Foils/Bullfrog.wav,New,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Grandfather Clock,0,2,2,6,1,Initial/Doubled/Cuckoo_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,3,3,27,1,Initial/NoRepeat/Faucet_A.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Drink Being Poured,0,4,4,49,1,Initial/Repeat/Pour.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bubbling Water,0,5,5,0,1,Initial/Doubled/Bubbles_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cymbal,0,6,6,45,1,Initial/Repeat/Cymbal_A.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bird Song,0,7,7,50,1,Initial/Repeat/ManWhistle.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Thunder,0,8,8,39,1,Initial/NoRepeat/Thunder_A.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Door Creaking,0,9,9,86,1,Initial/Doubled/Creak.wav,Extra,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ocean Waves,0,10,10,18,1,Initial/Doubled/Surf_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Owl ,0,11,11,16,1,Initial/Doubled/Owl_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,12,12,5,1,Initial/Doubled/Cricket_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,13,13,78,1,Test/Foils/Cards.wav,New,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Sheep,0,14,14,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Heartbeat,0,15,15,71,1,Test/Foils/Heartbeat.wav,New,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Chainsaw,0,16,16,21,1,Initial/NoRepeat/Chainsaw_A.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Steps On Wooden Floor,0,17,17,29,1,Initial/NoRepeat/Footsteps_B.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Coughing,0,18,18,85,1,Initial/Doubled/Cough_A.wav,Extra,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Duck Quaking ,0,19,19,89,1,Initial/NoRepeat/Duck_A.wav,Extra,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,20,20,41,1,Initial/Repeat/Bat.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Animal Roar,0,21,21,12,1,Initial/Doubled/Growl_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Splashing Drops,0,22,22,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Referee Whistle,0,23,23,59,1,Initial/Repeat/Whistle_A.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,24,24,92,1,Test/Foils/Gulp.wav,Extra,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bagpipes,0,25,25,42,1,Initial/Repeat/Bagpipe.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Squeaky Toy,0,26,26,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Chalk On Chalkboard,0,27,27,99,1,Initial/Doubled/Writing_A.wav,Extra,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Knocking,0,28,28,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,29,29,36,1,Initial/NoRepeat/Sax_A.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Hands Drumming Mimicking Galloping,0,30,30,69,1,Test/Foils/Gallop.wav,New,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Snoring,0,31,31,38,1,Initial/NoRepeat/Snore_B.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ice Swirling In Glass,0,32,32,57,1,Initial/Repeat/Stir.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Insect Droning,0,33,33,44,1,Initial/Repeat/Cicade.wav,Repeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Hair Drier ,0,34,34,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cow Mooing,0,35,35,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Bell Ringing,0,36,36,2,1,Initial/Doubled/Chime_A.wav,Doubled,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Donkey,0,37,37,68,1,Test/Foils/Donkey.wav,New,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,Toilet Flushing,0,38,38,23,1,Initial/NoRepeat/Toilet_B.wav,NoRepeat,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,39,39,67,1,Test/Foils/Curtain.wav,New,5f47c8cc5a01ee1f5050804d,001,2021-01-03_23h07.49.129,GuessTheSound,2020.2.10,Win32,60,,
