WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,9.64527,space,41.51648,horn,0,0,0,60,1,Test/Foils/Airhorn.wav,New,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,smooth music,0,1,1,9,1,Initial/Doubled/Piano_A.wav,Doubled,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,something falling,0,2,2,51,1,Initial/Repeat/MetalBang.wav,Repeat,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,photography sound,0,3,3,80,1,Test/Foils/Camera.wav,Extra,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,ice cubes falling on a glass,0,4,4,94,1,Initial/Repeat/IceDrop.wav,Extra,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,fire or police horn,0,5,5,11,1,Initial/Doubled/Siren_A.wav,Doubled,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,mosquito,0,6,6,32,1,Initial/NoRepeat/Mosquito_B.wav,NoRepeat,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,sneezing,0,7,7,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,irish pipe,0,8,8,42,1,Initial/Repeat/Bagpipe.wav,Repeat,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
,,,,cellphone vibrating,0,9,9,66,1,Test/Foils/Buzz.wav,New,5f54ed45a3b43286df0b0a0b,001,2021-01-01_15h59.37.652,GuessTheSound,2020.2.10,Win32,60,,
