VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,6.48122,space,10.46687,3,1,2.97155,0,0,0,4,1,Headphone/t3_1.wav,3,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.84198,0,1,1,0,1,Headphone/t1_1.wav,1,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.838975,0,2,2,1,1,Headphone/t1_2.wav,1,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.64485,0,3,3,2,1,Headphone/t2_1.wav,2,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.653035,0,4,4,3,1,Headphone/t2_2.wav,2,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.81292,0,5,5,5,1,Headphone/t3_2.wav,3,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,space,725.583345,space,4.501425,space,2.938025,2,1,5.420695,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.883775,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.91805,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.2405,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.897205,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_E.wav,2,3,NEW,C,space,11.918155,2,1,1.641395,0,0,0,0,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_C.wav,2,3,NEW,C,,,2,1,0.260365,0,1,1,1,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_A.wav,2,3,NEW,C,,,2,1,0.312875,0,2,2,2,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,2,3,NEW,C,,,2,1,0.234675,0,3,3,3,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,2,3,NEW,C,,,2,1,0.264785,0,4,4,4,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,C,,,2,1,0.260435,0,5,5,5,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_G.wav,2,3,NEW,C,,,2,1,0.255065,0,6,6,6,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,C,,,2,1,0.40469,0,7,7,7,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,2,3,NEW,C,,,2,1,0.266445,0,8,8,8,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_D.wav,2,2,SIMILAR,C,,,2,1,0.521045,0,9,9,9,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,2,3,NEW,C,,,2,1,0.27961,0,10,10,10,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,2,3,NEW,C,,,2,1,0.24224,0,11,11,11,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,2,3,NEW,C,,,2,1,0.437745,0,12,12,12,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,2,3,NEW,C,,,2,1,0.346315,0,13,13,13,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Goat_B.wav,2,3,NEW,C,,,2,1,0.20457,0,14,14,14,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,1,1,OLD,C,,,2,0,0.264385,0,15,15,15,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_A.wav,2,3,NEW,C,,,2,1,0.21761,0,16,16,16,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_B.wav,2,2,SIMILAR,C,,,1,0,1.16708,0,17,17,17,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_C.wav,2,3,NEW,C,,,2,1,0.118555,0,18,18,18,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Duck_A.wav,2,3,NEW,C,,,2,1,0.291965,0,19,19,19,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,2,3,NEW,C,,,2,1,0.29234,0,20,20,20,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airhorn.wav,2,3,NEW,C,,,2,1,0.005485,0,21,21,21,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,1,1,OLD,C,,,2,0,1.067435,0,22,22,22,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,1,1,OLD,C,,,1,1,0.33336,0,23,23,23,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Camera.wav,2,3,NEW,C,,,2,1,0.305705,0,24,24,24,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_H.wav,2,2,SIMILAR,C,,,1,0,0.26416,0,25,25,25,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_B.wav,2,3,NEW,C,,,2,1,0.24763,0,26,26,26,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Piano_D.wav,2,3,NEW,C,,,2,1,0.27832,0,27,27,27,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Coin_D.wav,2,3,NEW,C,,,2,1,0.24901,0,28,28,28,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_A.wav,2,2,SIMILAR,C,,,2,1,0.32827,0,29,29,29,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/PaperRip.wav,2,3,NEW,C,,,2,1,0.280975,0,30,30,30,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,1,1,OLD,C,,,1,1,0.606785,0,31,31,31,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,1,1,OLD,C,,,1,1,0.048155,0,32,32,32,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,1,1,OLD,C,,,1,1,0.39719,0,33,33,33,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Pour_B.wav,2,3,NEW,C,,,2,1,0.03803,0,34,34,34,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,1,1,OLD,C,,,1,1,0.507665,0,35,35,35,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_F.wav,2,2,SIMILAR,C,,,1,0,0.269315,0,36,36,36,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,1,1,OLD,C,,,1,1,0.30325,0,37,37,37,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bullfrog.wav,2,3,NEW,C,,,2,1,0.34056,0,38,38,38,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,1,1,OLD,C,,,2,0,0.35635,0,39,39,39,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Helicopter_A.wav,2,3,NEW,C,,,2,1,0.46182,0,40,40,40,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Goat_C.wav,2,2,SIMILAR,C,,,2,1,0.31974,0,41,41,41,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/HairDryer_A.wav,2,3,NEW,C,,,2,1,0.19122,0,42,42,42,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Duck_B.wav,2,2,SIMILAR,C,,,2,1,1.12414,0,43,43,43,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/PaperRip.wav,1,1,OLD,C,,,1,1,0.314595,0,44,44,44,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Dog_H.wav,2,3,NEW,C,,,2,1,1.69125,0,45,45,45,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Camera.wav,1,1,OLD,C,,,1,1,0.46962,0,46,46,46,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_D.wav,2,2,SIMILAR,C,,,2,1,0.22582,0,47,47,47,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sneeze_B.wav,2,3,NEW,C,,,2,1,0.227225,0,48,48,48,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,1,1,OLD,C,,,1,1,0.004225,0,49,49,49,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Donkey.wav,2,3,NEW,C,,,2,1,0.086315,0,50,50,50,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Coin_E.wav,2,2,SIMILAR,C,,,1,0,0.11122,0,51,51,51,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Buzz.wav,2,3,NEW,C,,,2,1,0.244785,0,52,52,52,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Piano_D.wav,1,1,OLD,C,,,1,1,0.22287,0,53,53,53,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Hammer_A.wav,2,3,NEW,C,,,2,1,0.342105,0,54,54,54,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airhorn.wav,1,1,OLD,C,,,1,1,0.23125,0,55,55,55,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_C.wav,2,2,SIMILAR,C,,,1,0,0.283595,0,56,56,56,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_A.wav,2,3,NEW,C,,,2,1,0.077535,0,57,57,57,1
,,,,,,,,,,,,,,5f6664109b70ce119e08befe,2021-03-21_18h26.12.390,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Pour_C.wav,2,2,SIMILAR,C,,,1,0,0.242025,0,58,58,58,1
