VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,9.849505,space,21.06329,space,1.34689,3,1,5.61412,0,0,0,0,1,Practice/Seagull_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,2,0,15.35192,0,1,1,1,1,Practice/Skid_B.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,1,1,0.883775,0,2,2,2,1,Practice/Seagull_A.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,3,1,1.449875,0,3,3,3,1,Practice/Gargle_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,1,0,3.183395,0,4,4,4,1,Practice/Gargle_B.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,space,7.81506,2,0,3.0008,0,0,0,0,1,,
,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.65013,0,1,1,1,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.501555,0,2,2,2,1,,
,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,3,1,0.651285,0,3,3,3,1,,
,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.53447,0,4,4,4,1,,
,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.134195,0,5,5,5,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.06697,0,6,6,6,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,3,1,0.882365,0,7,7,7,1,,
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.31841,0,8,8,8,1,,
,,,,,,,,,,,,,,Piano_D.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,1,0.73417,0,9,9,9,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.32107,0,10,10,10,1,,
,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.67728,0,11,11,11,1,,
,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.400945,0,12,12,12,1,,
,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.150005,0,13,13,13,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,3.101715,0,14,14,14,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.01705,0,15,15,15,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,0.372215,0,16,16,16,1,,
,,,,,,,,,,,,,,Baby_A.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,0.400265,0,17,17,17,1,,
,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,3,1,0.25021,0,18,18,18,1,,
,,,,,,,,,,,,,,Siren_B.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,1.900215,0,19,19,19,1,,
,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.53394,0,20,20,20,1,,
,,,,,,,,,,,,,,Bird_C.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,1,1.18383,0,21,21,21,1,,
,,,,,,,,,,,,,,Pour_D.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,0.349965,0,22,22,22,1,,
,,,,,,,,,,,,,,Test/Foils/Camera.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.46555,0,23,23,23,1,,
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.417695,0,24,24,24,1,,
,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.66774,0,25,25,25,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,3,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,2,0,1.567815,0,26,26,26,1,,
,,,,,,,,,,,,,,Baby_C.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,3,0,0.69952,0,27,27,27,1,,
,,,,,,,,,,,,,,Siren_C.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,0.699995,0,28,28,28,1,,
,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.367235,0,29,29,29,1,,
,,,,,,,,,,,,,,Piano_C.wav,2,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,0,0.433835,0,30,30,30,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,5fa1a5d5c838ab1b4d1516de,001,2021-01-18_04h52.39.382,GuessTheSound,2020.2.10,MacIntel,60,,,1,1,0.067595,0,31,31,31,1,,
