WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,7.12631,space,5.661855,coo-coo clock,0,0,0,6,1,Initial/Doubled/Cuckoo_A.wav,Doubled,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,laughter,0,1,1,15,1,Initial/Doubled/Laugh_A.wav,Doubled,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,toilet flush,0,2,2,23,1,Initial/NoRepeat/Toilet_B.wav,NoRepeat,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,fireworks,0,3,3,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,donkey,0,4,4,55,1,Initial/Repeat/Sealion.wav,Repeat,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,baby gibberish,0,5,5,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,piano,0,6,6,9,1,Initial/Doubled/Piano_A.wav,Doubled,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,percussions,0,7,7,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,water gargling,0,8,8,10,1,Initial/Doubled/Gargle_A.wav,Doubled,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,church bells,0,9,9,2,1,Initial/Doubled/Chime_A.wav,Doubled,5fad9d68fe7eb41482edf800,001,2021-01-03_23h27.42.214,GuessTheSound,2020.2.10,MacIntel,60,,
