VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,13.653075,space,17.76325,2,1,4.569415,0,0,0,3,1,Headphone/t2_2.wav,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.333455,0,1,1,2,1,Headphone/t2_1.wav,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.49969,0,2,2,5,1,Headphone/t3_2.wav,3,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.406705,0,3,3,4,1,Headphone/t3_1.wav,3,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.890965,0,4,4,1,1,Headphone/t1_2.wav,1,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.304285,0,5,5,0,1,Headphone/t1_1.wav,1,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,space,78.534415,space,2.037865,space,9.8199,3,1,13.22873,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,2.36389,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,2.370635,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.723785,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.303055,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,NEW,space,14.364045,3,1,8.28757,0,0,0,0,1,,
,,,,,,,,,,,,,2,5fb1ccf448fe0270bbe2bc7a,001,2021-02-19_23h46.21.830,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,0.64955,0,1,1,1,1,,
