VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.40736,space,7.633385,3,1,1.485305,0,0,0,4,1,Headphone/t3_1.wav,3,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.528795,0,1,1,3,1,Headphone/t2_2.wav,2,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.33346,0,2,2,2,1,Headphone/t2_1.wav,2,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.31609,0,3,3,1,1,Headphone/t1_2.wav,1,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.191875,0,4,4,0,1,Headphone/t1_1.wav,1,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.32225,0,5,5,5,1,Headphone/t3_2.wav,3,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,space,13.604505,space,8.42755,space,4.226055,2,1,6.848495,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.986775,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.55005,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.54005,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.60386,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_E.wav,2,3,NEW,C,space,6.057665,2,1,2.720445,0,0,0,0,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_C.wav,2,3,NEW,C,,,2,1,0.34011,0,1,1,1,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_A.wav,2,3,NEW,C,,,2,1,0.54672,0,2,2,2,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,2,3,NEW,C,,,2,1,0.353745,0,3,3,3,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,2,3,NEW,C,,,2,1,0.40916,0,4,4,4,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,C,,,2,1,0.604045,0,5,5,5,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_G.wav,2,3,NEW,C,,,2,1,0.55183,0,6,6,6,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,C,,,2,1,0.34572,0,7,7,7,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,2,3,NEW,C,,,2,1,0.545285,0,8,8,8,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_D.wav,2,2,SIMILAR,C,,,1,0,1.44216,0,9,9,9,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,2,3,NEW,C,,,2,1,0.43057,0,10,10,10,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,2,3,NEW,C,,,2,1,0.37553,0,11,11,11,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,2,3,NEW,C,,,2,1,0.74318,0,12,12,12,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,2,3,NEW,C,,,2,1,0.487705,0,13,13,13,1
,,,,,,,,,,,,,,5fb590d309dec70ce2efdf3d,2021-03-21_16h18.32.863,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Goat_B.wav,2,3,NEW,C,,,2,1,0.522195,0,14,14,14,1
