WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,5.77976,space,2.398875,dog toy,0,0,0,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,clop,0,1,1,69,1,Test/Foils/Gallop.wav,New,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,barking,0,2,2,7,1,Initial/Doubled/Dog_A.wav,Doubled,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,a choo-choo,0,3,3,76,1,Test/Foils/Steam.wav,New,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,starting the car,0,4,4,81,1,Initial/Doubled/CarStart_A.wav,Extra,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,pouring liquid,0,5,5,49,1,Initial/Repeat/Pour.wav,Repeat,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,mixing ice in a glass ,0,6,6,57,1,Initial/Repeat/Stir.wav,Repeat,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,farting,0,7,7,78,1,Test/Foils/Cards.wav,New,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,whistling,0,8,8,50,1,Initial/Repeat/ManWhistle.wav,Repeat,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,laughing,0,9,9,15,1,Initial/Doubled/Laugh_A.wav,Doubled,5fc0aa89eba500058d6d9381,001,2021-01-01_16h58.45.967,GuessTheSound,2020.2.10,MacIntel,60,,
