ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,17.347195,space,5.090335,space,2.27366,slurping,3,1,5.27089,0,0,0,0,1,Test/Foils/Slurp.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,whistle,3,1,2.82987,0,1,1,1,1,Initial/Repeat/ManWhistle.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,horn ,3,1,1.57781,0,2,2,2,1,Test/Foils/Airhorn.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,music,3,1,5.437605,0,3,3,3,1,Initial/Doubled/Piano_A.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,shriek,3,1,1.395665,0,4,4,4,1,Initial/Doubled/Siren_A.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,bird whistle,2,0,1.246955,0,5,5,5,1,Test/Foils/Bird.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,meow,3,1,1.112245,0,6,6,6,1,Initial/Doubled/Cat_A.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,baby crying,3,1,2.077385,0,7,7,7,1,Initial/NoRepeat/Baby_B.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,chalk writing,3,1,1.793565,0,8,8,8,1,Initial/Doubled/Writing_A.wav,3,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,,,piano,2,1,3.80639,0,9,9,9,1,Piano_D.wav,2,5ff33ff4937861400935bba1,001,2021-01-07_15h14.26.657,GuessTheSound,2020.2.10,MacIntel,60,,
