VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,4.409505,space,13.535255,1,1,2.616725,0,0,0,0,1,Headphone/t1_1.wav,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.017755,0,1,1,3,1,Headphone/t2_2.wav,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.34653,0,2,2,1,1,Headphone/t1_2.wav,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.268225,0,3,3,5,1,Headphone/t3_2.wav,3,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.28982,0,4,4,2,1,Headphone/t2_1.wav,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.451745,0,5,5,4,1,Headphone/t3_1.wav,3,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,space,8.69725,space,33.884295,space,4.23647,3,1,4.73539,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,2.920505,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,1,1,0.898975,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,3,1,0.7336,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,2,1,1.01705,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,CarStart_F.wav,3,NEW,C,space,11.86348,3,1,1.18079,0,0,0,0,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Bird_E.wav,3,NEW,C,,,3,1,0.07023,0,1,1,1,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,3,NEW,C,,,3,1,0.76611,0,2,2,2,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Horse.wav,3,NEW,C,,,3,1,0.669225,0,3,3,3,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,3,NEW,C,,,3,1,0.418385,0,4,4,4,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,C,,,3,1,0.5522,0,5,5,5,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Growl_G.wav,3,NEW,C,,,3,1,0.68502,0,6,6,6,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,C,,,3,1,1.56786,0,7,7,7,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Slurp.wav,3,NEW,C,,,3,1,0.800895,0,8,8,8,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,CarStart_E.wav,2,SIMILAR,C,,,2,1,1.01746,0,9,9,9,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Printer.wav,3,NEW,C,,,3,1,0.534795,0,10,10,10,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,C,,,2,0,0.633675,0,11,11,11,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,NEW,C,,,3,1,0.352085,0,12,12,12,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,3,NEW,C,,,3,1,0.35157,0,13,13,13,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Goat_D.wav,3,NEW,C,,,3,1,0.31641,0,14,14,14,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Horse.wav,1,OLD,C,,,2,0,1.501025,0,15,15,15,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Laugh_C.wav,3,NEW,C,,,3,1,0.36747,0,16,16,16,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Lures/Bubbles_B.wav,2,SIMILAR,C,,,2,1,1.01758,0,17,17,17,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Footsteps_G.wav,3,NEW,C,,,3,1,0.55021,0,18,18,18,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Duck_C.wav,3,NEW,C,,,2,0,0.584185,0,19,19,19,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,C,,,3,1,0.38375,0,20,20,20,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Airhorn.wav,3,NEW,C,,,3,1,0.334235,0,21,21,21,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Printer.wav,1,OLD,C,,,1,1,1.353495,0,22,22,22,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,1,OLD,C,,,1,1,0.350415,0,23,23,23,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Camera.wav,3,NEW,C,,,3,1,0.402145,0,24,24,24,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Growl_H.wav,2,SIMILAR,C,,,1,0,0.476705,0,25,25,25,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Whistle_A.wav,3,NEW,C,,,3,1,0.10369,0,26,26,26,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Piano_D.wav,3,NEW,C,,,3,1,0.517355,0,27,27,27,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Coin_D.wav,3,NEW,C,,,3,1,0.316915,0,28,28,28,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Bird_F.wav,2,SIMILAR,C,,,2,1,1.367085,0,29,29,29,1,,
,,,,,,,,,,,,,2,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/PaperRip.wav,3,NEW,C,,,3,1,0.51127,0,30,30,30,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Test/Foils/Slurp.wav,1,OLD,C,,,1,1,0.64939,0,31,31,31,1,,
,,,,,,,,,,,,,1,5ffdddf6e8c3f83879f47ff8,001,2021-03-03_00h24.23.978,GuessTheSound,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,1,OLD,C,,,1,1,0.503345,0,32,32,32,1,,
