VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,6.47937,space,8.85046,2,1,1.41196,0,0,0,2,1,Headphone/t2_1.wav,2,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.48434,0,1,1,5,1,Headphone/t3_2.wav,3,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.35941,0,2,2,4,1,Headphone/t3_1.wav,3,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.46526,0,3,3,0,1,Headphone/t1_1.wav,1,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.31887,0,4,4,1,1,Headphone/t1_2.wav,1,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.43869,0,5,5,3,1,Headphone/t2_2.wav,2,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,space,19.860405,space,14.07006,space,4.785915,2,1,1.596085,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.92289,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.71669,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.703015,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.396015,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_E.wav,2,3,NEW,C,space,35.231025,2,1,1.39207,0,0,0,0,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_C.wav,2,3,NEW,C,,,2,1,0.69532,0,1,1,1,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_A.wav,2,3,NEW,C,,,2,1,0.573795,0,2,2,2,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,2,3,NEW,C,,,2,1,0.66657,0,3,3,3,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,2,3,NEW,C,,,2,1,0.50868,0,4,4,4,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,C,,,2,1,0.571005,0,5,5,5,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_G.wav,2,3,NEW,C,,,2,1,0.52781,0,6,6,6,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,C,,,2,1,0.48504,0,7,7,7,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,2,3,NEW,C,,,1,0,0.893605,0,8,8,8,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_D.wav,2,2,SIMILAR,C,,,1,0,0.39052,0,9,9,9,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,2,3,NEW,C,,,2,1,0.451605,0,10,10,10,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,2,3,NEW,C,,,2,1,0.32324,0,11,11,11,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,2,3,NEW,C,,,2,1,0.338925,0,12,12,12,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,2,3,NEW,C,,,2,1,0.834865,0,13,13,13,1
,,,,,,,,,,,,,,600563088f221175cc9eef01,2021-03-21_17h26.43.153,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Goat_B.wav,2,3,NEW,C,,,2,1,0.616065,0,14,14,14,1
