VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,5.387355,space,10.561145,3,1,0.81247,0,0,0,5,1,Headphone/t3_2.wav,3,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.951055,0,1,1,0,1,Headphone/t1_1.wav,1,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.298405,0,2,2,2,1,Headphone/t2_1.wav,2,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.39061,0,3,3,4,1,Headphone/t3_1.wav,3,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.26953,0,4,4,1,1,Headphone/t1_2.wav,1,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.30256,0,5,5,3,1,Headphone/t2_2.wav,2,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,space,17.88716,space,11.243925,space,9.383885,2,1,15.38097,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,2,1,1.120165,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,1,1,0.787185,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,2,1,0.67463,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,2,1,0.51263,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Elephant_C.wav,2,3,NEW,A,space,9.700635,2,1,1.40798,0,0,0,0,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,2,3,NEW,A,,,2,1,0.419245,0,1,1,1,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Chime_B.wav,2,3,NEW,A,,,2,1,0.299215,0,2,2,2,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,2,3,NEW,A,,,2,1,0.73757,0,3,3,3,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Typing.wav,2,3,NEW,A,,,2,1,0.360815,0,4,4,4,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Pour_B.wav,2,3,NEW,A,,,2,1,0.36302,0,5,5,5,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,A,,,2,1,0.352885,0,6,6,6,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Buzz.wav,2,3,NEW,A,,,2,1,0.53725,0,7,7,7,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Baby_F.wav,2,3,NEW,A,,,2,1,0.3411,0,8,8,8,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,1,1,OLD,A,,,1,1,0.56017,0,9,9,9,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Mosquito_B.wav,2,3,NEW,A,,,2,1,0.589865,0,10,10,10,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/DialTone.wav,2,3,NEW,A,,,2,1,0.624525,0,11,11,11,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Elephant_A.wav,2,2,SIMILAR,A,,,1,0,1.08678,0,12,12,12,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Writing_A.wav,2,3,NEW,A,,,2,1,0.318735,0,13,13,13,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Faucet_A.wav,2,3,NEW,A,,,2,1,0.639825,0,14,14,14,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Typing.wav,1,1,OLD,A,,,2,0,0.47715,0,15,15,15,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,1,1,OLD,A,,,1,1,0.29735,0,16,16,16,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Wind_B.wav,2,3,NEW,A,,,2,1,0.30226,0,17,17,17,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,1,1,OLD,A,,,1,1,0.51959,0,18,18,18,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Pour_C.wav,2,2,SIMILAR,A,,,1,0,0.342635,0,19,19,19,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Chime_A.wav,2,2,SIMILAR,A,,,1,0,0.53977,0,20,20,20,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Buzz.wav,1,1,OLD,A,,,1,1,0.398265,0,21,21,21,1
,,,,,,,,,,,,,,603f8db40379eb034184c597,2021-03-21_17h19.33.223,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,SoundMST/Writing_C.wav,2,2,SIMILAR,A,,,2,1,0.394125,0,22,22,22,1
