WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,2.716725,space,1.662,car,0,0,0,38,1,Initial/NoRepeat/Snore_B.wav,NoRepeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,cymbal,0,1,1,45,1,Initial/Repeat/Cymbal_A.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,elevator,0,2,2,8,1,Initial/Doubled/Doorchime_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,telephone,0,3,3,52,1,Initial/Repeat/Phone_A.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,thunder,0,4,4,39,1,Initial/NoRepeat/Thunder_A.wav,NoRepeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,vacuum cleaner,0,5,5,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,ping pong,0,6,6,53,1,Initial/Repeat/Pingpong.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,vibrating phone,0,7,7,66,1,Test/Foils/Buzz.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano falling down,0,8,8,91,1,Initial/Doubled/Guitar_A.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,camera,0,9,9,80,1,Test/Foils/Camera.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,heartbeat,0,10,10,71,1,Test/Foils/Heartbeat.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,gurgling,0,11,11,10,1,Initial/Doubled/Gargle_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,horses neighing,0,12,12,72,1,Test/Foils/Horse.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,toilet flushing,0,13,13,97,1,Test/Foils/Slurp.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,siren,0,14,14,11,1,Initial/Doubled/Siren_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,bubbling frogs,0,15,15,19,1,Initial/Doubled/Turkey_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,train starting up,0,16,16,98,1,Initial/Doubled/Train_A.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,water,0,17,17,92,1,Test/Foils/Gulp.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,bowling pins ,0,18,18,63,1,Test/Foils/Bowlingpins.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,creaking door,0,19,19,86,1,Initial/Doubled/Creak.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,wind chimes,0,20,20,17,1,Initial/Doubled/Windchime_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,keyboard,0,21,21,77,1,Test/Foils/Typing.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,22,22,9,1,Initial/Doubled/Piano_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,car starting up,0,23,23,81,1,Initial/Doubled/CarStart_A.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,hyperventilating woman,0,24,24,68,1,Test/Foils/Donkey.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,velcro ,0,25,25,95,1,Test/Foils/PaperRip.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,fireworks,0,26,26,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,, car,0,27,27,15,1,Initial/Doubled/Laugh_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,helicopter,0,28,28,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistle,0,29,29,59,1,Initial/Repeat/Whistle_A.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,dolphin,0,30,30,55,1,Initial/Repeat/Sealion.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,horse,0,31,31,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,rice in a box shaking around,0,32,32,64,1,Test/Foils/Brushing.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,guitar,0,33,33,51,1,Initial/Repeat/MetalBang.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,drums,0,34,34,46,1,Initial/Repeat/Drum_B.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,mesh door sliding open/close,0,35,35,67,1,Test/Foils/Curtain.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,poorly recorded video distortion,0,36,36,84,1,Initial/Doubled/Clock_A.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,wind whistling,0,37,37,79,1,Test/Foils/Wind_B.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,rug being hit outside to clean it,0,38,38,61,1,Test/Foils/Axe.wav,New,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,bubbling in water,0,39,39,0,1,Initial/Doubled/Bubbles_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,water camera,0,40,40,49,1,Initial/Repeat/Pour.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog barking,0,41,41,7,1,Initial/Doubled/Dog_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,potato chips being eaten in someone's mouth,0,42,42,83,1,Initial/Doubled/Chomp_A.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,straw stirring a drink ,0,43,43,57,1,Initial/Repeat/Stir.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,applause,0,44,44,3,1,Initial/Doubled/Clap_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,clocktower chiming,0,45,45,2,1,Initial/Doubled/Chime_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,electric motor spinning something that keeps hitting something,0,46,46,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,squeeze ball being squeezed repeatedly,0,47,47,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,computer mahjong game opening song (harp),0,48,48,14,1,Initial/Doubled/Harp_A.wav,Doubled,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistling,0,49,49,50,1,Initial/Repeat/ManWhistle.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,cricket,0,50,50,44,1,Initial/Repeat/Cicade.wav,Repeat,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
,,,,crow,0,51,51,87,1,Initial/Repeat/Crow_B.wav,Extra,A10,001,2020-12-28_17h28.02.183,GuessTheSound,2020.2.10,Win32,60,,
