WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,5.720865,space,2.58006,water,0,0,0,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,kettle water being poured,0,1,1,49,1,Initial/Repeat/Pour.wav,Repeat,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,animals,0,2,2,90,1,Initial/Doubled/Geese_A.wav,Extra,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,train,0,3,3,98,1,Initial/Doubled/Train_A.wav,Extra,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,machine,0,4,4,54,1,Initial/Repeat/Printer.wav,Repeat,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,5,5,9,1,Initial/Doubled/Piano_A.wav,Doubled,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,glass,0,6,6,94,1,Initial/Repeat/IceDrop.wav,Extra,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,writing felt tip,0,7,7,99,1,Initial/Doubled/Writing_A.wav,Extra,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,fireworks,0,8,8,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
,,,,door chime,0,9,9,17,1,Initial/Doubled/Windchime_A.wav,Doubled,5a2126371a1ad3000138f77e,001,2021-01-01_16h03.44.239,GuessTheSound,2020.2.10,Win32,60,,
