WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,46.231795,space,2.94971,ice in glass,0,0,0,94,1,Initial/Repeat/IceDrop.wav,Extra,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,donkey,0,1,1,68,1,Test/Foils/Donkey.wav,New,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby,0,2,2,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,train ,0,3,3,76,1,Test/Foils/Steam.wav,New,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,rooster,0,4,4,96,1,Initial/NoRepeat/Rooster_B.wav,Extra,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,5,5,41,1,Initial/Repeat/Bat.wav,Repeat,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,cello,0,6,6,43,1,Initial/Repeat/Cello.wav,Repeat,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,phone ringtone,0,7,7,75,1,Test/Foils/Robot.wav,New,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,ripping something,0,8,8,95,1,Test/Foils/PaperRip.wav,Extra,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,horse,0,9,9,72,1,Test/Foils/Horse.wav,New,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
,,,,camera shutter,0,10,10,80,1,Test/Foils/Camera.wav,Extra,5e7a5c6a84dea203b37bfd0b,001,2021-01-04_22h14.55.666,GuessTheSound,2020.2.10,Win32,60,,
