WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,10.721,space,4.223,cough,0,0,0,85,1,Initial/Doubled/Cough_A.wav,Extra,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,hair dryer,0,1,1,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,horse riding,0,2,2,69,1,Test/Foils/Gallop.wav,New,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Elephant,0,3,3,26,1,Initial/NoRepeat/Elephant_A.wav,NoRepeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Ice,0,4,4,94,1,Initial/Repeat/IceDrop.wav,Extra,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,inflatable,0,5,5,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,sartén,0,6,6,51,1,Initial/Repeat/MetalBang.wav,Repeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,sawing,0,7,7,35,1,Initial/NoRepeat/Saw_A.wav,NoRepeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Raven,0,8,8,87,1,Initial/Repeat/Crow_B.wav,Extra,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Turkey,0,9,9,19,1,Initial/Doubled/Turkey_A.wav,Doubled,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Chirping bird,0,10,10,25,1,Initial/NoRepeat/Eagle_B.wav,NoRepeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Cornet,0,11,11,60,1,Test/Foils/Airhorn.wav,New,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Wind,0,12,12,79,1,Test/Foils/Wind_B.wav,New,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,Fireworks,0,13,13,28,1,Initial/NoRepeat/Fireworks.wav,NoRepeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,tap dance,0,14,14,53,1,Initial/Repeat/Pingpong.wav,Repeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,bugle,0,15,15,58,1,Initial/Repeat/Trumpet_B.wav,Repeat,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
,,,,roar,0,16,16,12,1,Initial/Doubled/Growl_A.wav,Doubled,5e8ec3e28ee4fe17502d74eb,001,2021-01-03_23h16.02.196,GuessTheSound,2020.2.10,Win32,60,,
