WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,13.126705,space,12.89363,bell,0,0,0,17,1,Initial/Doubled/Windchime_A.wav,Doubled,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,aeroplane,0,1,1,40,1,Initial/Repeat/Airplane_B.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,goat,0,2,2,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,viola,0,3,3,43,1,Initial/Repeat/Cello.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,4,4,9,1,Initial/Doubled/Piano_A.wav,Doubled,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,chainsaw,0,5,5,21,1,Initial/NoRepeat/Chainsaw_A.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,book,0,6,6,78,1,Test/Foils/Cards.wav,New,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,cicada,0,7,7,44,1,Initial/Repeat/Cicade.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,train whistle,0,8,8,76,1,Test/Foils/Steam.wav,New,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,stir ice,0,9,9,57,1,Initial/Repeat/Stir.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,fill with air,0,10,10,34,1,Initial/NoRepeat/Puff_A.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,thunderstorm,0,11,11,39,1,Initial/NoRepeat/Thunder_A.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,bird,0,12,12,62,1,Test/Foils/Bird.wav,New,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,helicopter,0,13,13,93,1,Initial/NoRepeat/Helicopter_A.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,drip of water,0,14,14,24,1,Initial/NoRepeat/Droplet_B.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,chicken,0,15,15,1,1,Initial/Doubled/Chicken_A.wav,Doubled,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,suck,0,16,16,97,1,Test/Foils/Slurp.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,laugh,0,17,17,15,1,Initial/Doubled/Laugh_A.wav,Doubled,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,frog,0,18,18,65,1,Test/Foils/Bullfrog.wav,New,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,tear,0,19,19,95,1,Test/Foils/PaperRip.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,duck,0,20,20,89,1,Initial/NoRepeat/Duck_A.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,bells,0,21,21,37,1,Initial/NoRepeat/Sleighbells_B.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,music box,0,22,22,33,1,Initial/NoRepeat/MusicBox_A.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,percussion,0,23,23,46,1,Initial/Repeat/Drum_B.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,guitar,0,24,24,91,1,Initial/Doubled/Guitar_A.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,glass,0,25,25,47,1,Initial/Repeat/Cup.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,goose,0,26,26,90,1,Initial/Doubled/Geese_A.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistle,0,27,27,50,1,Initial/Repeat/ManWhistle.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,meow,0,28,28,82,1,Initial/Doubled/Cat_A.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,cuckoo,0,29,29,6,1,Initial/Doubled/Cuckoo_A.wav,Doubled,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,swallow,0,30,30,92,1,Test/Foils/Gulp.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,steps,0,31,31,29,1,Initial/NoRepeat/Footsteps_B.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,percussion dishes,0,32,32,45,1,Initial/Repeat/Cymbal_A.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,chew,0,33,33,83,1,Initial/Doubled/Chomp_A.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,cow,0,34,34,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,ping pong,0,35,35,53,1,Initial/Repeat/Pingpong.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,toilet flush,0,36,36,23,1,Initial/NoRepeat/Toilet_B.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,fill with liquid,0,37,37,49,1,Initial/Repeat/Pour.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,38,38,41,1,Initial/Repeat/Bat.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistle,0,39,39,59,1,Initial/Repeat/Whistle_A.wav,Repeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,hair dryer,0,40,40,13,1,Initial/Doubled/HairDryer_A.wav,Doubled,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,creaking door,0,41,41,86,1,Initial/Doubled/Creak.wav,Extra,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby,0,42,42,20,1,Initial/NoRepeat/Baby_B.wav,NoRepeat,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,donkey,0,43,43,68,1,Test/Foils/Donkey.wav,New,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,horse,0,44,44,72,1,Test/Foils/Horse.wav,New,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
,,,,harp,0,45,45,14,1,Initial/Doubled/Harp_A.wav,Doubled,5e935f7042d2cd694d3f1179,001,2021-01-01_15h59.24.413,GuessTheSound,2020.2.10,Win32,60,,
