WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,16.347695,space,7.31097,TYPING,0,0,0,77,1,Test/Foils/Typing.wav,New,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,,0,1,1,47,1,Initial/Repeat/Cup.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,FLOWING WATER,0,2,2,27,1,Initial/NoRepeat/Faucet_A.wav,NoRepeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,BAGPIPES,0,3,3,42,1,Initial/Repeat/Bagpipe.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,PING PONG GAME,0,4,4,53,1,Initial/Repeat/Pingpong.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,HOWLING WOLF ,0,5,5,48,1,Initial/Repeat/Howl.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,ENGINE REVVING,0,6,6,40,1,Initial/Repeat/Airplane_B.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,PST,0,7,7,59,1,Initial/Repeat/Whistle_A.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,MEW,0,8,8,32,1,Initial/NoRepeat/Mosquito_B.wav,NoRepeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,AX CUTTING,0,9,9,61,1,Test/Foils/Axe.wav,New,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,CLAPS,0,10,10,3,1,Initial/Doubled/Clap_A.wav,Doubled,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,MOOO,0,11,11,22,1,Initial/NoRepeat/Cow.wav,NoRepeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,POTATO CRUNCH,0,12,12,83,1,Initial/Doubled/Chomp_A.wav,Extra,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,CRICKET,0,13,13,5,1,Initial/Doubled/Cricket_A.wav,Doubled,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,MEOW,0,14,14,82,1,Initial/Doubled/Cat_A.wav,Extra,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,POURING SODA,0,15,15,49,1,Initial/Repeat/Pour.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,KNOCKING ,0,16,16,31,1,Initial/NoRepeat/Hammer_A.wav,NoRepeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,BELLS,0,17,17,33,1,Initial/NoRepeat/MusicBox_A.wav,NoRepeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,WIND,0,18,18,73,1,Test/Foils/Kettle.wav,New,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,SPRING,0,19,19,51,1,Initial/Repeat/MetalBang.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,GUITAR STRINGS,0,20,20,91,1,Initial/Doubled/Guitar_A.wav,Extra,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,SUBWAY,0,21,21,97,1,Test/Foils/Slurp.wav,Extra,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,WIND CHIMES,0,22,22,17,1,Initial/Doubled/Windchime_A.wav,Doubled,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,LAMB,0,23,23,30,1,Initial/NoRepeat/Goat_B.wav,NoRepeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
,,,,PLATO CRASH,0,24,24,45,1,Initial/Repeat/Cymbal_A.wav,Repeat,5f21bb41bfbf3a5e4cae985c,001,2021-01-04_22h27.47.335,GuessTheSound,2020.2.10,Win32,60,,
