WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,9.698445,space,3.16656,sneeze,0,0,0,56,1,Initial/Repeat/Sneeze_B.wav,Repeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,dripping water,0,1,1,0,1,Initial/Doubled/Bubbles_A.wav,Doubled,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,ping pong,0,2,2,53,1,Initial/Repeat/Pingpong.wav,Repeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,an old bell,0,3,3,51,1,Initial/Repeat/MetalBang.wav,Repeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,beep,0,4,4,8,1,Initial/Doubled/Doorchime_A.wav,Doubled,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,rake,0,5,5,67,1,Test/Foils/Curtain.wav,New,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,printer,0,6,6,54,1,Initial/Repeat/Printer.wav,Repeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,eagle,0,7,7,25,1,Initial/NoRepeat/Eagle_B.wav,NoRepeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,eating lays,0,8,8,83,1,Initial/Doubled/Chomp_A.wav,Extra,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,animal,0,9,9,55,1,Initial/Repeat/Sealion.wav,Repeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,bee,0,10,10,32,1,Initial/NoRepeat/Mosquito_B.wav,NoRepeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,pouring water,0,11,11,49,1,Initial/Repeat/Pour.wav,Repeat,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
,,,,classic music,0,12,12,9,1,Initial/Doubled/Piano_A.wav,Doubled,5fbabe8f3bdaedb1377b0068,001,2021-01-01_18h01.53.805,GuessTheSound,2020.2.10,Win32,60,,
