WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles,Type,participant,session,date,expName,psychopyVersion,OS,frameRate
space,6.5421,space,3.687745,a sleighbell,0,0,0,44,1,Initial/Repeat/Cicade.wav,Repeat,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,a little bird,0,1,1,62,1,Test/Foils/Bird.wav,New,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,An old telephone ringing,0,2,2,52,1,Initial/Repeat/Phone_A.wav,Repeat,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,A wolf in the woods,0,3,3,76,1,Test/Foils/Steam.wav,New,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,Someone going down stairs,0,4,4,69,1,Test/Foils/Gallop.wav,New,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,a christmas bells,0,5,5,37,1,Initial/NoRepeat/Sleighbells_B.wav,NoRepeat,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,a pen writing,0,6,6,99,1,Initial/Doubled/Writing_A.wav,Extra,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,a door opening,0,7,7,86,1,Initial/Doubled/Creak.wav,Extra,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,rocks falling,0,8,8,63,1,Test/Foils/Bowlingpins.wav,New,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
,,,,a knife,0,9,9,35,1,Initial/NoRepeat/Saw_A.wav,NoRepeat,Juan 5eb1994b2c1e632a7f63ff52,001,2021-01-04_02h08.22.205,GuessTheSound,2020.2.10,Win32,60
