ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles2,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,0.350425,space,0.16958,space,0.50829,filling cup with water,3,2.282965,0,0,0,2,1,Initial/Repeat/Pour.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,clearing throat,3,1.59498,0,1,1,54,1,Cough_B.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,tower bell ,3,5.987295,0,2,2,6,1,Initial/Doubled/Chime_A.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,engine failing to start,3,24.602295,0,3,3,46,1,Carstart_C.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piano,3,1.434835,0,4,4,57,1,Piano_B.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,chirping,3,1.59031,0,5,5,43,1,Bird_C.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,munching on chips,3,1.69603,0,6,6,51,1,Chomp_B.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,gurgling,3,1.9486,0,7,7,28,1,Initial/Doubled/Gargle_A.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,small dog bark,3,0.897435,0,8,8,50,1,Dog_D.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,group laughter,3,0.772005,0,9,9,41,1,Laugh_D.wav,5ec5887e3ba6b459ea9fcc0f,001,2021-01-05_10h24.19.314,GuessTheSound,2020.2.10,Win32,60,,
