VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,4.249,space,15.4,2,1,2.821,0,0,0,2,1,Headphone/t2_1.wav,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,1.301,0,1,1,4,1,Headphone/t3_1.wav,3,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.368,0,2,2,0,1,Headphone/t1_1.wav,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.987,0,3,3,3,1,Headphone/t2_2.wav,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.634,0,4,4,1,1,Headphone/t1_2.wav,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.044,0,5,5,5,1,Headphone/t3_2.wav,3,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,space,17.353,space,13.579,space,6.397,2,1,12.473,0,0,0,0,1,Practice/Seagull_A.wav,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,2.307,0,1,1,1,1,Practice/Skid_B.wav,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.521,0,2,2,2,1,Practice/Seagull_A.wav,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e9b6a437f43c806f0a45d9f,001,2021-02-15_02h05.34.082,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,4.989,0,3,3,3,1,Practice/Gargle_A.wav,NEW,,,,,,,,,,,,
