VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.244665,space,4.29965,3,1,6.352085,0,0,0,4,1,Headphone/t3_1.wav,3,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,2.48372,0,1,1,1,1,Headphone/t1_2.wav,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,1.829025,0,2,2,5,1,Headphone/t3_2.wav,3,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,0.251035,0,3,3,2,1,Headphone/t2_1.wav,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.61442,0,4,4,0,1,Headphone/t1_1.wav,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.318825,0,5,5,3,1,Headphone/t2_2.wav,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,space,5.24945,space,11.64987,space,2.868555,3,1,1.90995,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.766675,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.94756,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.867125,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.60016,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Elephant_C.wav,3,NEW,space,2.716885,3,1,3.380885,0,0,0,0,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,0.620705,0,1,1,1,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,0.304825,0,2,2,2,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,0.620435,0,3,3,3,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,0.255775,0,4,4,4,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,NEW,,,3,1,0.32343,0,5,5,5,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,NEW,,,3,1,0.40747,0,6,6,6,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,,,3,1,0.30157,0,7,7,7,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Baby_F.wav,3,NEW,,,3,1,0.23481,0,8,8,8,1,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,OLD,,,2,0,0.59121,0,9,9,9,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Mosquito_B.wav,3,NEW,,,3,1,0.283635,0,10,10,10,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,NEW,,,3,1,0.4448,0,11,11,11,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Elephant_D.wav,2,SIMILAR,,,2,1,0.35901,0,12,12,12,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,NEW,,,3,1,0.284545,0,13,13,13,1,,
,,,,,,,,,,,,,2,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,3,NEW,,,2,0,0.13792,0,14,14,14,1,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,OLD,,,1,1,1.190345,0,15,15,15,1,,
,,,,,,,,,,,,,1,5f18458a1facae24e6a1893c,001,2021-02-22_19h23.42.635,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,1,OLD,,,1,1,2.236285,0,16,16,16,1,,
