VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,6.94033,space,6.37267,3,1,4.54605,0,0,0,4,1,Headphone/t3_1.wav,3,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.36768,0,1,1,0,1,Headphone/t1_1.wav,1,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.35388,0,2,2,1,1,Headphone/t1_2.wav,1,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.03671,0,3,3,5,1,Headphone/t3_2.wav,3,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.293165,0,4,4,2,1,Headphone/t2_1.wav,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.643045,0,5,5,3,1,Headphone/t2_2.wav,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,space,4.233005,space,10.477195,space,3.98485,3,1,0.112235,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.118105,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,5.63293,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.751155,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.31654,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Buzz.wav,3,NEW,space,4.21542,3,1,1.132035,0,0,0,0,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Lures/Chime_B.wav,3,NEW,,,3,1,0.99288,0,1,1,1,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,NEW,,,3,1,0.301145,0,2,2,2,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,,,3,1,0.689315,0,3,3,3,1,,
,,,,,,,,,,,,,2,5e8527c70312bf11154fb3db,001,2021-02-18_02h58.33.685,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,NEW,,,3,1,0.47063,0,4,4,4,1,,
