VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,4.799,space,26.689,space,5.294,1,0,0.144,0,0,0,0,1,Practice/Seagull_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,1,0,0.582,0,1,1,1,1,Practice/Skid_B.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,1,1,1.377,0,2,2,2,1,Practice/Seagull_A.wav,1,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,1,0,0.683,0,3,3,3,1,Practice/Gargle_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,2,1,0.584,0,4,4,4,1,Practice/Gargle_B.wav,2,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,space,6.154,1,0,0.565,0,0,0,0,1,,
,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,1,0,0.789,0,1,1,1,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.49,0,2,2,2,1,,
,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.478,0,3,3,3,1,,
,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,5e248b6f0c0b31718a9d3f31,001,2021-01-17_20h22.12.571,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.553,0,4,4,4,1,,
