ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles2,participant,session,date,expName,psychopyVersion,OS,frameRate
space,14.03393,space,4.63348,space,1.348715,,3,13.82898,0,0,0,64,1,Initial/Doubled/Laugh_A.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1.356615,0,1,1,49,1,Dog_C.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1.44841,0,2,2,3,1,Initial/Doubled/Piano_A.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,0.865135,0,3,3,48,1,Dog_B.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1.165685,0,4,4,44,1,Bird_D.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,0.80045,0,5,5,39,1,Laugh_B.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,0.914645,0,6,6,57,1,Piano_B.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,0.504775,0,7,7,26,1,Initial/Repeat/Howl.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,0.57542,0,8,8,59,1,Piano_D.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,0.53527,0,9,9,69,1,Initial/Doubled/Cough_A.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,0.48492,0,10,10,5,1,Initial/NoRepeat/Mosquito_B.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,0.344365,0,11,11,50,1,Dog_D.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,0.393775,0,12,12,67,1,Initial/Doubled/Dog_A.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,0.20086,0,13,13,24,1,Initial/NoRepeat/Thunder_A.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,0.882095,0,14,14,37,1,Baby_C.wav,,001,2021-01-05_13h14.42.329,GuessTheSound,2020.2.10,Win32,60
