ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles3,Correct,Distance,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.87783,space,0.83225,space,1.16819,,3,1,1.1976,0,0,0,0,1,Initial/Doubled/Siren_A.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.48586,0,1,1,1,1,Initial/NoRepeat/Baby_B.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.36498,0,2,2,2,1,Initial/Repeat/Pour.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.30567,0,3,3,3,1,Initial/Doubled/Piano_A.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.135185,0,4,4,4,1,Test/Foils/Bird.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.54187,0,5,5,5,1,Initial/NoRepeat/Footsteps_B.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.83433,0,6,6,6,1,Initial/NoRepeat/Helicopter_A.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.919415,0,7,7,7,1,Initial/NoRepeat/Toilet_B.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,1.34971,0,8,8,8,1,Initial/Doubled/Clap_A.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,0.815045,0,9,9,9,1,Initial/Doubled/Siren_A.wav,1,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,1.00249,0,10,10,10,1,Pour_D.wav,2,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.80673,0,11,11,11,1,Initial/Doubled/HairDryer_A.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.01959,0,12,12,12,1,Initial/NoRepeat/Baby_B.wav,1,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.065025,0,13,13,13,1,Initial/NoRepeat/Toilet_B.wav,1,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,2.085525,0,14,14,14,1,Piano_D.wav,2,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,2,1,1.5512,0,15,15,15,1,Bird_D.wav,2,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,0.89274,0,16,16,16,1,Initial/Repeat/Pour.wav,1,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,1,0.656545,0,17,17,17,1,Initial/Repeat/ManWhistle.wav,3,,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,0.852695,0,18,18,18,1,Initial/Doubled/Piano_A.wav,1,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,3,0,5.74815,0,19,19,19,1,Footsteps_A.wav,2,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
,,,,,,,1,1,1.1495,0,20,20,20,1,Initial/NoRepeat/Helicopter_A.wav,1,N,,001,2021-01-05_16h55.11.877,GuessTheSound,2020.2.10,Win32,60
