ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,10.32562,space,9.533895,space,5.209995,sip,3,1,8.0089,0,0,0,0,1,Test/Foils/Slurp.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,whistle,3,1,2.17576,0,1,1,1,1,Initial/Repeat/ManWhistle.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piping,3,1,1.126635,0,2,2,2,1,Test/Foils/Airhorn.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piano,3,1,1.22,0,3,3,3,1,Initial/Doubled/Piano_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,hooter,2,0,1.736695,0,4,4,4,1,Initial/Doubled/Siren_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,tweet,3,1,0.80286,0,5,5,5,1,Test/Foils/Bird.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,meow,3,1,0.6903,0,6,6,6,1,Initial/Doubled/Cat_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,meaw,2,0,0.920235,0,7,7,7,1,Initial/NoRepeat/Baby_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,writing,3,1,0.87199,0,8,8,8,1,Initial/Doubled/Writing_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piano,2,1,0.65946,0,9,9,9,1,Piano_D.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,fart,3,1,0.63636,0,10,10,10,1,Initial/NoRepeat/Mosquito_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,writing machine,3,1,0.64131,0,11,11,11,1,Test/Foils/Typing.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,drink,3,1,1.20472,0,12,12,12,1,Initial/Repeat/Pour.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,fan,3,1,1.00018,0,13,13,13,1,Initial/Doubled/HairDryer_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,hooter,1,1,0.709985,0,14,14,14,1,Test/Foils/Airhorn.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,bell,3,1,0.271355,0,15,15,15,1,Initial/Doubled/Chime_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,firework,3,1,0.570175,0,16,16,16,1,Initial/NoRepeat/Fireworks.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,baby,3,0,0.597605,0,17,17,17,1,Baby_A.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,coin,3,1,0.286965,0,18,18,18,1,Initial/Repeat/IceDrop.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,hooter,2,1,0.72309,0,19,19,19,1,Siren_B.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,paper,3,1,0.574165,0,20,20,20,1,Test/Foils/PaperRip.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,cricket,3,0,0.73613,0,21,21,21,1,Bird_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,water,3,0,1.129625,0,22,22,22,1,Pour_D.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,photo,3,1,0.6223,0,23,23,23,1,Test/Foils/Camera.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,writing,1,1,1.18654,0,24,24,24,1,Initial/Doubled/Writing_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,writing machine,1,1,0.313095,0,25,25,25,1,Test/Foils/Typing.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,snore,3,1,2.57291,0,26,26,26,1,Initial/NoRepeat/Snore_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,baby,2,1,2.14534,0,27,27,27,1,Baby_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,hooter,1,0,1.00279,0,28,28,28,1,Siren_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,bell,1,1,0.70885,0,29,29,29,1,Initial/Doubled/Chime_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piano,2,1,0.78082,0,30,30,30,1,Piano_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,firework,1,1,0.60272,0,31,31,31,1,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,water,1,0,0.60497,0,32,32,32,1,Pour_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,tweet,2,1,0.60696,0,33,33,33,1,Bird_D.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,plane,3,1,0.64937,0,34,34,34,1,Initial/Repeat/Airplane_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
