VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.13742,space,20.641335,space,3.338675,3,1,8.99853,0,0,0,0,1,Practice/Seagull_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,3,1,2.50593,0,1,1,1,1,Practice/Skid_B.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,1,1,4.01183,0,2,2,2,1,Practice/Seagull_A.wav,1,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,3,1,2.067365,0,3,3,3,1,Practice/Gargle_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,2,1,1.99735,0,4,4,4,1,Practice/Gargle_B.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,Initial/Doubled/Coin_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,space,5.4467,3,1,1.739835,0,0,0,0,1,,
,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.034375,0,1,1,1,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.562555,0,2,2,2,1,,
,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.767175,0,3,3,3,1,,
,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.883785,0,4,4,4,1,,
,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.985125,0,5,5,5,1,,
,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.46742,0,6,6,6,1,,
,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.57592,0,7,7,7,1,,
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.944555,0,8,8,8,1,,
,,,,,,,,,,,,,,Piano_D.wav,2,,001,2021-01-17_13h51.08.382,GuessTheSound,2020.2.10,Win32,60,,,2,1,2.682145,0,9,9,9,1,,
