VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.649845,space,3.23329,space,1.242475,3,1,2.377145,0,0,0,0,1,Practice/Seagull_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,3,1,2.354695,0,1,1,1,1,Practice/Skid_B.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,3,0,1.75175,0,2,2,2,1,Practice/Seagull_A.wav,1,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,3,1,0.41863,0,3,3,3,1,Practice/Gargle_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,2,1,0.574105,0,4,4,4,1,Practice/Gargle_B.wav,2,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,space,1.508905,3,1,1.330255,0,0,0,0,1
,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.857095,0,1,1,1,1
,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.218055,0,2,2,2,1
,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.499025,0,3,3,3,1
,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.652465,0,4,4,4,1
,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.684385,0,5,5,5,1
,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.926465,0,6,6,6,1
,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.21674,0,7,7,7,1
,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.46011,0,8,8,8,1
,,,,,,,,,,,,,,Piano_D.wav,2,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,2,1,1.057305,0,9,9,9,1
,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.915935,0,10,10,10,1
,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,,001,2021-01-17_23h36.26.815,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.69229,0,11,11,11,1
