VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,Welcome2Continue.keys,Welcome2Continue.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.08,space,1.298,space,0.445,space,0.819,3,1,4.882,0,0,0,0,1,Practice/Seagull_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,,3,1,0.712,0,1,1,1,1,Practice/Skid_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,,2,0,0.305,0,2,2,2,1,Practice/Seagull_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,,3,1,0.4,0,3,3,3,1,Practice/Gargle_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,,3,0,0.43,0,4,4,4,1,Practice/Gargle_B.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,space,3.171,3,1,1.697,0,0,0,0,1
,,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.505,0,1,1,1,1
,,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.404,0,2,2,2,1
,,,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.337,0,3,3,3,1
,,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.379,0,4,4,4,1
,,,,,,,,,,,,,,,,Test/Foils/Bird.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.823,0,5,5,5,1
,,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.722,0,6,6,6,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Baby_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.692,0,7,7,7,1
,,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.421,0,8,8,8,1
,,,,,,,,,,,,,,,,Piano_B.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.741,0,9,9,9,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Sleighbells_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.272,0,10,10,10,1
,,,,,,,,,,,,,,,,Test/Foils/Typing.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.945,0,11,11,11,1
,,,,,,,,,,,,,,,,Initial/Repeat/Pour.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.456,0,12,12,12,1
,,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.308,0,13,13,13,1
,,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.428,0,14,14,14,1
,,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.122,0,15,15,15,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.158,0,16,16,16,1
,,,,,,,,,,,,,,,,Baby_A.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.263,0,17,17,17,1
,,,,,,,,,,,,,,,,Test/Foils/DialTone.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.313,0,18,18,18,1
,,,,,,,,,,,,,,,,Siren_B.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.523,0,19,19,19,1
,,,,,,,,,,,,,,,,Initial/Repeat/Sneeze_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,7.383,0,20,20,20,1
,,,,,,,,,,,,,,,,Bird_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,2.114,0,21,21,21,1
,,,,,,,,,,,,,,,,Pour_D.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.74,0,22,22,22,1
,,,,,,,,,,,,,,,,Test/Foils/Camera.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.916,0,23,23,23,1
,,,,,,,,,,,,,,,,Initial/Doubled/Writing_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.387,0,24,24,24,1
,,,,,,,,,,,,,,,,Test/Foils/Typing.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.459,0,25,25,25,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Snore_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.529,0,26,26,26,1
,,,,,,,,,,,,,,,,Baby_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.64,0,27,27,27,1
,,,,,,,,,,,,,,,,Siren_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.839,0,28,28,28,1
,,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.141,0,29,29,29,1
,,,,,,,,,,,,,,,,Piano_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,3.199,0,30,30,30,1
,,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,13.238,0,31,31,31,1
,,,,,,,,,,,,,,,,Pour_C.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.459,0,32,32,32,1
,,,,,,,,,,,,,,,,Bird_D.wav,2,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.873,0,33,33,33,1
,,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.89,0,34,34,34,1
,,,,,,,,,,,,,,,,Test/Foils/Buzz.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.3,0,35,35,35,1
,,,,,,,,,,,,,,,,Test/Foils/Donkey.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,2.631,0,36,36,36,1
,,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,1,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.861,0,37,37,37,1
,,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.841,0,38,38,38,1
,,,,,,,,,,,,,,,,Initial/Doubled/Laugh_A.wav,3,,001,2021-01-18_20h33.39.939,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.341,0,39,39,39,1
