VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,HeadphoneTrials.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,0.62298,space,1.33258,1,1,0.937115,0,0,0,0,1,Headphone/t1_1.wav,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.683815,0,1,1,5,1,Headphone/t3_2.wav,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.407135,0,2,2,1,1,Headphone/t1_2.wav,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.361135,0,3,3,4,1,Headphone/t3_1.wav,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.495415,0,4,4,3,1,Headphone/t2_2.wav,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.628415,0,5,5,2,1,Headphone/t2_1.wav,2,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,space,5.028695,space,1.432265,space,2.08431,3,1,2.404015,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.339475,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,5.229565,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-22_16h51.36.177,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.915315,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,,,
