VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneTrials.thisRepN,HeadphoneTrials.thisTrialN,HeadphoneTrials.thisN,HeadphoneTrials.thisIndex,HeadphoneTrials.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.54989,space,0.723975,1,1,0.57435,0,0,0,1,1,Headphone/t1_2.wav,1,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.61801,0,1,1,0,1,Headphone/t1_1.wav,1,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.173145,0,2,2,4,1,Headphone/t3_1.wav,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.404315,0,3,3,2,1,Headphone/t2_1.wav,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.2556,0,4,4,3,1,Headphone/t2_2.wav,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.234015,0,5,5,5,1,Headphone/t3_2.wav,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,space,1.118505,space,1.73135,space,0.610935,3,1,1.75069,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.684635,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.05767,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,0.779645,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.60008,0,4,4,4,1,Practice/Gargle_B.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Elephant_A.wav,space,1.56229,3,1,2.372695,0,0,0,0,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,,,3,1,0.70323,0,1,1,1,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Cuckoo_A.wav,,,3,1,0.491065,0,2,2,2,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Piano_A.wav,,,3,1,0.58407,0,3,3,3,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,,,3,1,0.803975,0,4,4,4,1
,,,,,,,,,,,,,3,,001,2021-01-23_14h21.45.598,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bird.wav,,,3,1,0.418635,0,5,5,5,1
