VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.34217,space,0.304005,1,1,0.89237,0,0,0,0,1,Headphone/t1_1.wav,1,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.17885,0,1,1,1,1,Headphone/t1_2.wav,1,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.10492,0,2,2,3,1,Headphone/t2_2.wav,2,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,1.501145,0,3,3,4,1,Headphone/t3_1.wav,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.20125,0,4,4,5,1,Headphone/t3_2.wav,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,3.551215,0,5,5,2,1,Headphone/t2_1.wav,2,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,space,1.63506,space,2.98783,space,1.27977,3,1,1.085785,0,0,0,0,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.53507,0,1,1,1,1,Practice/Skid_B.wav,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.259235,0,2,2,2,1,Practice/Seagull_A.wav,,,,,,,,,,
,,,,,,,,,,,,,3,,001,2021-01-24_10h51.00.135,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.478395,0,3,3,3,1,Practice/Gargle_A.wav,,,,,,,,,,
