VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,15.668905,space,86.658155,1,1,10.542505,0,0,0,1,1,Headphone/t1_2.wav,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,3.04578,0,1,1,4,1,Headphone/t3_1.wav,3,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,1.910965,0,2,2,5,1,Headphone/t3_2.wav,3,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.584895,0,3,3,0,1,Headphone/t1_1.wav,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.968355,0,4,4,2,1,Headphone/t2_1.wav,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.251735,0,5,5,3,1,Headphone/t2_2.wav,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,space,23.706555,space,29.62083,space,16.351615,3,1,11.10473,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,2.55488,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,,,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,2.935895,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-02-21_14h23.09.405,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,1.667335,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,,,,,,,,,,,,
