VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.453745,space,0.379055,3,0,0.321535,0,0,0,2,1,Headphone/t2_1.wav,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.271105,0,1,1,5,1,Headphone/t3_2.wav,3,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0,0.269295,0,2,2,4,1,Headphone/t3_1.wav,3,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.246635,0,3,3,3,1,Headphone/t2_2.wav,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.38551,0,4,4,0,1,Headphone/t1_1.wav,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.11768,0,5,5,1,1,Headphone/t1_2.wav,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,space,1.044665,space,0.36998,space,0.359565,3,1,0.56297,0,0,0,0,1,Practice/Seagull_A.wav,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.431915,0,1,1,1,1,Practice/Skid_B.wav,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.382675,0,2,2,2,1,Practice/Seagull_A.wav,1,OLD,Practice,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,3,1,0.265295,0,3,3,3,1,Practice/Gargle_A.wav,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.229275,0,4,4,4,1,Practice/Gargle_B.wav,2,SIMILAR,Practice,,,,,,,,,,
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,3,NEW,B,space,0.808025,3,1,0.04961,0,0,0,0,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_E.wav,3,NEW,B,,,3,1,0.354435,0,1,1,1,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_G.wav,3,NEW,B,,,3,1,0.338095,0,2,2,2,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,3,NEW,B,,,3,1,0.35287,0,3,3,3,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_D.wav,3,NEW,B,,,3,1,0.43722,0,4,4,4,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,3,NEW,B,,,3,1,0.41898,0,5,5,5,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,B,,,3,1,0.32197,0,6,6,6,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Bird_D.wav,3,NEW,B,,,3,1,0.40259,0,7,7,7,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,3,NEW,B,,,3,1,0.306525,0,8,8,8,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_D.wav,3,NEW,B,,,3,1,0.441925,0,9,9,9,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Siren_B.wav,2,SIMILAR,B,,,1,0,0.63905,0,10,10,10,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_C.wav,3,NEW,B,,,3,1,0.361405,0,11,11,11,1
,,,,,,,,,,,,,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/ManWhistle.wav,1,OLD,B,,,1,1,0.334995,0,12,12,12,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,B,,,3,1,0.33441,0,13,13,13,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_A.wav,3,NEW,B,,,3,1,0.39156,0,14,14,14,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Phone_E.wav,2,SIMILAR,B,,,2,1,0.392265,0,15,15,15,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chime_B.wav,3,NEW,B,,,3,1,0.3121,0,16,16,16,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Footsteps_F.wav,2,SIMILAR,B,,,1,0,0.30641,0,17,17,17,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Toilet_B.wav,3,NEW,B,,,1,0,0.33617,0,18,18,18,1
,,,,,,,,,,,,,2,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Piano_D.wav,3,NEW,B,,,3,1,0.41869,0,19,19,19,1
,,,,,,,,,,,,,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,1,OLD,B,,,1,1,0.42022,0,20,20,20,1
,,,,,,,,,,,,,1,,001,2021-03-01_18h38.31.567,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/HairDryer_A.wav,1,OLD,B,,,3,0,0.28602,0,21,21,21,1
