VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0.29947,space,1.12294,2,0,1.016095,0,0,0,1,1,Headphone/t1_2.wav,1,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.454555,0,1,1,5,1,Headphone/t3_2.wav,3,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.23433,0,2,2,2,1,Headphone/t2_1.wav,2,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,0,0.335405,0,3,3,4,1,Headphone/t3_1.wav,3,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0,0.303755,0,4,4,3,1,Headphone/t2_2.wav,2,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.428915,0,5,5,0,1,Headphone/t1_1.wav,1,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,space,2.571175,space,0.54851,space,0.61412,2,1,1.797885,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.05398,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,0,0.952055,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.73648,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.104945,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_A.wav,2,3,NEW,C,space,2.59611,2,1,1.43703,0,0,0,0,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_E.wav,2,3,NEW,C,,,2,1,0.4593,0,1,1,1,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_A.wav,2,3,NEW,C,,,2,1,0.39152,0,2,2,2,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,2,3,NEW,C,,,2,1,0.244785,0,3,3,3,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,2,3,NEW,C,,,2,1,0.367235,0,4,4,4,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,C,,,2,1,0.270975,0,5,5,5,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_G.wav,2,3,NEW,C,,,2,1,0.38486,0,6,6,6,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,C,,,2,1,0.75606,0,7,7,7,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,2,3,NEW,C,,,2,1,0.589935,0,8,8,8,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_B.wav,2,2,SIMILAR,C,,,2,1,0.33981,0,9,9,9,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,2,3,NEW,C,,,2,1,0.35199,0,10,10,10,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,2,3,NEW,C,,,1,0,0.27283,0,11,11,11,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,2,3,NEW,C,,,2,1,0.470125,0,12,12,12,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,2,3,NEW,C,,,2,1,0.285385,0,13,13,13,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Goat_D.wav,2,3,NEW,C,,,2,1,0.46654,0,14,14,14,1
,,,,,,,,,,,,,,,001,2021-03-08_10h15.38.018,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,1,1,OLD,C,,,2,0,0.30047,0,15,15,15,1
