File,Correct,SoundFile5,Type,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,CheckSound.started,CheckSound.stopped,QuestionTxt.started,QuestionTxt.stopped,CheckTrial.started,CheckTrial.stopped,CrossHeadphone.started,CrossHeadphone.stopped,CheckResp.keys,CheckResp.corr,CheckResp.rt,CheckResp.started,CheckResp.stopped,FeedbackTxt.started,FeedbackTxt.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,9.41146299999673,None,9.41146299999673,None,11.112009200034663,None,space,1.5847180999699049,11.112009200034663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.788442699995358,None,12.795206500013592,None,12.788442699995358,None,13.91525650001131,None,13.91525650001131,None,space,1.052209599991329,13.91525650001131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
Headphone/t3_2.wav,3,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.078748459997588,None,19.609996900020633,None,15.081147800025064,19.626751600007992,15.081147800025064,19.626751600007992,3,1,0.07952500000828877,19.609996900020633,None,19.72723540000152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
Headphone/t1_1.wav,1,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.743085220013747,None,25.260968299990054,None,20.74088140000822,25.277875400031917,20.74088140000822,25.277875400031917,2,0,0.18132179998792708,25.260968299990054,None,25.476131300034467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
Headphone/t2_1.wav,2,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.494472220039462,None,31.01122879999457,None,26.49377070000628,31.027923100045882,26.49377070000628,31.027923100045882,3,0,3.321147500013467,31.01122879999457,None,34.36141549999593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
Headphone/t1_2.wav,1,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.37751892001833,None,39.89457850001054,None,35.378751200041734,39.92798590002349,35.378751200041734,39.92798590002349,2,0,0.4580392999923788,39.89457850001054,None,40.379271000041626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
Headphone/t3_1.wav,3,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.410923920013005,None,45.92811430001166,None,41.41019620001316,45.94465230003698,41.41019620001316,45.94465230003698,2,0,0.5280281000304967,45.92811430001166,None,46.47889850003412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
Headphone/t2_2.wav,2,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51091332002542,None,52.02807520003989,None,47.50432450004155,52.04447710001841,47.50432450004155,52.04447710001841,2,1,3.9057594999903813,52.02807520003989,None,55.975162099988665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.97902070003329,None,56.97902070003329,None,space,4.889225700055249,56.97902070003329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.89894240000285,None,61.89894240000285,None,space,1.4412169000133872,61.89894240000285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.366238399990834,None,63.366238399990834,None,space,2.639696400030516,63.366238399990834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Practice/Seagull_A.wav,New,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.11108689999674,None,66.11091395998373,None,66.11108689999674,None,3,0,12.664196500030812,68.39763240003958,None,68.39763240003958,None,68.39763240003958,None,68.39763240003958,None,68.39763240003958,None,81.09526219998952,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Practice/Skid_B.wav,New,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.13407100003678,None,82.12697458000038,None,82.13407100003678,None,3,0,3.16331849998096,84.24401070002932,None,84.24401070002932,None,84.24401070002932,None,84.24401070002932,None,84.24401070002932,None,87.42866780003533,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Practice/Seagull_A.wav,Old,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.45802210003603,None,88.46050762003287,None,88.45802210003603,None,1,1,0.8158159999875352,90.72734400001355,None,90.72734400001355,None,90.72734400001355,None,90.72734400001355,None,90.72734400001355,None,91.5700586999883,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Practice/Gargle_A.wav,New,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.61616690002847,None,92.61058638000976,None,92.61616690002847,None,2,1,1.1572851000237279,94.87714170000982,None,94.87714170000982,None,94.87714170000982,None,94.87714170000982,None,94.87714170000982,None,96.06019029999152,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Practice/Gargle_B.wav,Similar,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.10970680002356,None,97.11013814002509,None,97.10970680002356,None,2,1,1.1623122000019066,99.16057960002217,None,99.16057960002217,None,99.16057960002217,None,99.16057960002217,None,99.16057960002217,None,100.34479020000435,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.36242550000316,None,space,6.058216599980369,101.36242550000316,None,,,,,,,,,,,,,,,,,,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Doubled/CarStart_A.wav,New,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.36242550000316,None,107.50870740000391,None,108.9767118200194,None,108.98892400000477,None,108.98892400000477,None,111.49436320003588,None,2,1,2.1809733000118285,111.49436320003588,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Doubled/Clap_A.wav,New,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.69687480002176,None,115.2266280200216,None,115.2349574000109,None,115.2349574000109,None,117.74369440000737,None,2,1,1.244880500016734,117.74369440000737,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Doubled/Cuckoo_A.wav,New,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.01116220001131,None,120.5435147200129,None,120.55138950003311,None,120.55138950003311,None,123.04349150002236,None,2,1,0.3363721999921836,123.04349150002236,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Doubled/Chomp_A.wav,New,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.40994700003648,None,124.92648992002941,None,124.93205599999055,None,124.93205599999055,None,127.4434740000288,None,2,1,0.6308293999754824,127.4434740000288,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/NoRepeat/Toilet_B.wav,New,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.09448760002851,None,129.64311458002194,None,129.65367349999724,None,129.65367349999724,None,132.1604111000197,None,2,1,0.8063207000377588,132.1604111000197,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Doubled/Piano_A.wav,New,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.9931404000381,None,134.5266919800255,None,134.52333080000244,None,134.52333080000244,None,137.02692319999915,None,2,1,0.5835540000116453,137.02692319999915,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Doubled/Cat_A.wav,New,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.62635640002554,None,139.1435355200316,None,139.14767259999644,None,139.14767259999644,None,140.57659519999288,None,2,1,0.43296289996942505,140.57659519999288,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,1,Initial/Doubled/Clap_A.wav,Old,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0264107999974,None,142.54327812001577,None,142.5460057000164,None,142.5460057000164,None,145.06151540001156,None,1,1,0.6237571999663487,145.06151540001156,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
,2,Initial/Repeat/Buzz.wav,New,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.7097444999963,None,147.25957624001896,None,147.25957270001527,None,147.25957270001527,None,149.5601292999927,None,2,1,0.8713025000179186,149.5601292999927,None,,001,2021_Feb_14_1757,GuessTheSound,2020.2.10,59.9468631007035,
