SoundFiles3,Correct,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinue.started,VolumeContinue.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no1.started,no1.stopped,no_2.started,no_2.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.108938899997156,None,8.108938899997156,None,11.76119520002976,None,11.76119520002976,None,space,4.036106499959715,11.76119520002976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
,,,,,,,,,,,,,,,,,,,,,,15.860901799984276,None,15.858929430041462,None,15.860901799984276,None,17.895856600021943,None,17.895856600021943,None,space,1.8083078000345267,17.895856600021943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.728402599983383,None,19.728402599983383,None,space,1.1537473000353202,19.728402599983383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
Practice/Seagull_A.wav,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.001324600016233,None,21.00877547005657,None,21.001324600016233,None,3,1,9.602943699981552,23.3052346999757,None,23.3052346999757,None,23.3052346999757,None,23.3052346999757,None,23.3052346999757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
Practice/Skid_B.wav,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.94723759999033,None,32.94206612001872,None,32.94723759999033,None,3,1,3.5572683000355028,35.05849490000401,None,35.05849490000401,None,35.05849490000401,None,35.05849490000401,None,35.05849490000401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
Practice/Seagull_A.wav,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.66713690001052,None,38.65864161999198,None,38.66713690001052,None,1,1,0.9791663000360131,40.95512110000709,None,40.95512110000709,None,40.95512110000709,None,40.95512110000709,None,40.95512110000709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
Practice/Gargle_A.wav,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.98623199999565,None,41.975359020032926,None,41.98623199999565,None,3,1,0.6559931000228971,44.28230610000901,None,44.28230610000901,None,44.28230610000901,None,44.28230610000901,None,44.28230610000901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
Practice/Gargle_B.wav,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.981415799993556,None,44.97512842002325,None,44.981415799993556,None,2,1,0.5899828000110574,47.06128349999199,None,47.06128349999199,None,47.06128349999199,None,47.06128349999199,None,47.06128349999199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.67956239997875,None,space,9.137697600002866,47.67956239997875,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
Initial/Doubled/Coin_A.wav,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.67956239997875,None,58.89147989999037,None,57.891448899987154,58.89147989999037,56.906593499996234,57.908103100024164,59.87476961999201,None,59.882630400010385,None,59.882630400010385,None,60.991805400000885,None,3,1,10.061878399981651,60.991805400000885,None,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
Initial/Repeat/ManWhistle.wav,3,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.07464810000965,None,72.07443099998636,73.07464810000965,71.07779609999852,72.09112019999884,74.12459994003875,None,74.12791400001151,None,74.12791400001151,None,75.24200909998035,None,3,1,4.211825700011104,75.24200909998035,None,,001,2021_Jan_17_1316,GuessTheSound,2020.2.10,60.0545415374456,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.45769599999767,None,80.45769830001518,81.45769599999767,79.47527639998589,80.47463710000739,82.50805104001192,None,82.51723509997828,None,82.51723509997828,None,,,,,,,,,,,,,,
